MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Bangladesh,th,rd,4,3,38.8552,-77.5269,0.001974300,11869,12000,6012000,6011752
"San Francisco-Oakland-Hayward, CA",Bangladesh,th,th,12,13,37.6888,-122.0651,0.000501144,2294,2000,4578000,4577530
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bangladesh,th,th,5,5,39.9494,-75.2383,0.001153327,6975,7000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Bangladesh,nd,st,2,1,40.778,-73.7087,0.004800852,96168,96000,20031000,20031443
"Miami-Fort Lauderdale-West Palm Beach, FL",Bangladesh,th,th,8,8,26.0551,-80.4596,0.000647719,3839,4000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Bangladesh,th,th,11,4,34.0786,-118.3232,0.000549837,7252,7000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Bangladesh,th,th,10,9,29.6976,-95.3147,0.000550243,3567,4000,6483000,6482592
"Detroit-Warren-Dearborn, MI",Bangladesh,rd,nd,3,2,42.6774,-83.3276,0.002956899,12705,13000,4297000,4296731
"Dallas-Fort Worth-Arlington, TX",Bangladesh,th,th,6,6,32.744,-97.0689,0.000901091,6269,6000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Bangladesh,th,th,13,10,41.703,-87.9363,0.000344654,3284,3000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Bangladesh,th,th,9,11,42.5684,-71.1109,0.000637154,3013,3000,4729000,4728844
"Atlantic City-Hammonton, NJ",Bangladesh,st,th,1,12,39.5086,-74.6812,0.009900520,2713,3000,274000,274026
"Atlanta-Sandy Springs-Roswell, GA",Bangladesh,th,th,7,7,33.7311,-84.4002,0.000869267,4879,5000,5613000,5612777
