MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Utica-Rome, NY",Bosnia and Herzegovina,st,th,1,9,43.4608,-75.1188,0.009918493,2940,3000,296000,296416
"Tampa-St. Petersburg-Clearwater, FL",Bosnia and Herzegovina,th,th,6,5,28.1327,-82.4803,0.001212892,3551,4000,2928000,2927714
"St. Louis, MO-IL",Bosnia and Herzegovina,rd,nd,3,2,38.7628,-90.3359,0.003264550,9152,9000,2803000,2803449
"Phoenix-Mesa-Scottsdale, AZ",Bosnia and Herzegovina,th,th,9,6,33.2681,-112.1432,0.000774383,3474,3000,4486000,4486153
"New York-Newark-Jersey City, NY-NJ-PA",Bosnia and Herzegovina,th,th,12,8,40.778,-73.7087,0.000154757,3100,3000,20031000,20031443
"Minneapolis-St. Paul-Bloomington, MN-WI",Bosnia and Herzegovina,th,th,11,12,45.2214,-93.5043,0.000642982,2243,2000,3488000,3488436
"Jacksonville, FL",Bosnia and Herzegovina,th,th,5,10,30.2238,-81.8852,0.001631911,2324,2000,1424000,1424097
"Grand Rapids-Wyoming, MI",Bosnia and Herzegovina,th,th,4,11,42.9444,-86.1979,0.002182512,2244,2000,1028000,1028173
"Detroit-Warren-Dearborn, MI",Bosnia and Herzegovina,th,th,8,7,42.6774,-83.3276,0.000802936,3450,3000,4297000,4296731
"Des Moines-West Des Moines, IA",Bosnia and Herzegovina,nd,rd,2,3,41.5114,-94.0146,0.007068189,4324,4000,612000,611755
"Chicago-Naperville-Elgin, IL-IN-WI",Bosnia and Herzegovina,th,st,7,1,41.703,-87.9363,0.001035641,9868,10000,9528000,9528396
"Atlanta-Sandy Springs-Roswell, GA",Bosnia and Herzegovina,th,th,10,4,33.7311,-84.4002,0.000741166,4160,4000,5613000,5612777
