MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Burma,th,th,13,10,38.8552,-77.5269,0.000502848,3023,3000,6012000,6011752
"Tulsa, OK",Burma,th,th,6,14,36.1881,-96.1294,0.002236754,2171,2000,971000,970603
"San Francisco-Oakland-Hayward, CA",Burma,th,st,7,1,37.6888,-122.0651,0.002207304,10104,10000,4578000,4577530
"Omaha-Council Bluffs, NE-IA",Burma,th,th,4,13,41.3245,-96.0317,0.002425859,2195,2000,905000,904834
"New York-Newark-Jersey City, NY-NJ-PA",Burma,th,rd,14,3,40.778,-73.7087,0.000420389,8421,8000,20031000,20031443
"Minneapolis-St. Paul-Bloomington, MN-WI",Burma,th,th,8,5,45.2214,-93.5043,0.001519879,5302,5000,3488000,3488436
"Los Angeles-Long Beach-Anaheim, CA",Burma,th,nd,11,2,34.0786,-118.3232,0.000678729,8952,9000,13189000,13189366
"Jacksonville, FL",Burma,th,th,9,15,30.2238,-81.8852,0.001482343,2111,2000,1424000,1424097
"Indianapolis-Carmel-Anderson, IN",Burma,rd,th,3,4,39.7141,-86.3223,0.002882513,5675,6000,1969000,1968768
"Houston-The Woodlands-Sugar Land, TX",Burma,th,th,16,12,29.6976,-95.3147,0.000383951,2489,2000,6483000,6482592
"Fort Wayne, IN",Burma,st,th,1,9,40.931,-85.0695,0.007814788,3335,3000,427000,426755
"Des Moines-West Des Moines, IA",Burma,nd,th,2,16,41.5114,-94.0146,0.003287264,2011,2000,612000,611755
"Dallas-Fort Worth-Arlington, TX",Burma,th,th,12,6,32.744,-97.0689,0.000661480,4602,5000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Burma,th,th,15,8,41.703,-87.9363,0.000389258,3709,4000,9528000,9528396
"Buffalo-Cheektowaga-Niagara Falls, NY",Burma,th,th,5,11,43.0374,-78.7361,0.002386608,2710,3000,1136000,1135503
"Atlanta-Sandy Springs-Roswell, GA",Burma,th,th,10,7,33.7311,-84.4002,0.000706424,3965,4000,5613000,5612777
