MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Cambodia,th,th,15,6,38.8552,-77.5269,0.000726910,4370,4000,6012000,6011752
"Stockton-Lodi, CA",Cambodia,st,th,1,5,37.8911,-121.2479,0.006767759,4838,5000,715000,714860
"Seattle-Tacoma-Bellevue, WA",Cambodia,rd,rd,3,3,47.5137,-121.885,0.002871895,10543,11000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",Cambodia,th,th,8,14,36.8407,-121.3746,0.001718382,3339,3000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Cambodia,th,th,14,7,37.6888,-122.0651,0.000886941,4060,4000,4578000,4577530
"San Diego-Carlsbad, CA",Cambodia,th,th,11,10,33.0164,-116.7305,0.001066591,3470,3000,3253000,3253356
"Riverside-San Bernardino-Ontario, CA",Cambodia,th,th,13,8,34.6177,-116.0501,0.000910251,4033,4000,4431000,4430646
"Providence-Warwick, RI-MA",Cambodia,th,th,6,11,41.6397,-71.3161,0.002155517,3469,3000,1609000,1609359
"Portland-Vancouver-Hillsboro, OR-WA",Cambodia,th,th,9,15,45.6371,-122.6727,0.001358387,3194,3000,2351000,2351319
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Cambodia,th,th,10,4,39.9494,-75.2383,0.001172673,7092,7000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Cambodia,th,th,20,12,40.778,-73.7087,0.000172179,3449,3000,20031000,20031443
"Modesto, CA",Cambodia,nd,th,2,19,37.6057,-120.8871,0.004076817,2163,2000,531000,530561
"Minneapolis-St. Paul-Bloomington, MN-WI",Cambodia,th,th,12,13,45.2214,-93.5043,0.000968342,3378,3000,3488000,3488436
"Los Angeles-Long Beach-Anaheim, CA",Cambodia,th,st,5,1,34.0786,-118.3232,0.002231874,29437,29000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Cambodia,th,th,16,9,29.6976,-95.3147,0.000544227,3528,4000,6483000,6482592
"Fresno, CA",Cambodia,th,th,7,20,36.7463,-119.6363,0.002141908,2063,2000,963000,963160
"Dallas-Fort Worth-Arlington, TX",Cambodia,th,th,17,16,32.744,-97.0689,0.000457804,3185,3000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Cambodia,th,th,19,18,41.703,-87.9363,0.000243273,2318,2000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Cambodia,th,nd,4,2,42.5684,-71.1109,0.002560245,12107,12000,4729000,4728844
"Atlanta-Sandy Springs-Roswell, GA",Cambodia,th,th,18,17,33.7311,-84.4002,0.000451826,2536,3000,5613000,5612777
