MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Yuma, AZ",Canada,th,th,,38,32.7522,-113.9364,,3761,4000,,
"Worcester, MA-CT",Canada,th,st,19,31,42.178,-71.8736,0.005063035,4712,5000,931000,930667
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Canada,th,th,48,14,38.8552,-77.5269,0.002300328,13829,14000,6012000,6011752
"Virginia Beach-Norfolk-Newport News, VA-NC",Canada,th,th,58,58,36.8161,-76.3797,0.001513624,2595,3000,1714000,1714428
"Urban Honolulu, HI",Canada,st,th,51,64,21.4812,-157.9695,0.002185413,2157,2000,987000,986999
"Tucson, AZ",Canada,th,th,26,34,31.9703,-111.7845,0.004152140,4166,4000,1003000,1003338
"Tampa-St. Petersburg-Clearwater, FL",Canada,th,th,9,9,28.1327,-82.4803,0.006986680,20455,20000,2928000,2927714
"Syracuse, NY",Canada,th,th,36,66,43.2123,-76.1777,0.003163541,2090,2000,661000,660652
"St. Louis, MO-IL",Canada,th,th,67,48,38.7628,-90.3359,0.001099360,3082,3000,2803000,2803449
"Springfield, MA",Canada,th,st,29,61,42.2772,-72.6068,0.003784730,2381,2000,629000,629107
"Spokane-Spokane Valley, WA",Canada,th,rd,25,63,48.1301,-117.6472,0.004198274,2278,2000,543000,542604
"Seattle-Tacoma-Bellevue, WA",Canada,th,th,10,5,47.5137,-121.885,0.006965769,25572,26000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",Canada,th,th,16,18,36.8407,-121.3746,0.005403202,10499,10000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Canada,rd,th,23,8,37.6888,-122.0651,0.004548086,20819,21000,4578000,4577530
"San Diego-Carlsbad, CA",Canada,th,th,28,16,33.0164,-116.7305,0.003881223,12627,13000,3253000,3253356
"San Antonio-New Braunfels, TX",Canada,st,th,61,49,29.376,-98.6267,0.001314557,3066,3000,2332000,2332345
"Salt Lake City, UT",Canada,th,th,39,40,40.4903,-112.926,0.003087040,3564,4000,1155000,1154504
"Sacramento--Roseville--Arden-Arcade, CA",Canada,st,th,41,27,38.6673,-121.1593,0.002686237,6024,6000,2243000,2242542
"Rochester, NY",Canada,th,th,34,36,43.0717,-77.3205,0.003530686,3821,4000,1082000,1082226
"Riverside-San Bernardino-Ontario, CA",Canada,th,th,30,10,34.6177,-116.0501,0.003766719,16689,17000,4431000,4430646
"Raleigh, NC",Canada,nd,rd,32,33,35.7604,-78.5878,0.003651143,4541,5000,1244000,1243720
"Punta Gorda, FL",Canada,rd,th,3,68,26.904,-81.9881,0.011895639,2018,2000,170000,169642
"Providence-Warwick, RI-MA",Canada,nd,th,52,44,41.6397,-71.3161,0.002111400,3398,3000,1609000,1609359
"Portland-Vancouver-Hillsboro, OR-WA",Canada,th,th,24,17,45.6371,-122.6727,0.004538304,10671,11000,2351000,2351319
"Portland-South Portland, ME",Canada,th,th,14,50,43.5441,-70.5308,0.005781925,3029,3000,524000,523874
"Port St. Lucie, FL",Canada,th,th,11,55,27.2586,-80.4072,0.006082001,2717,3000,447000,446728
"Pittsburgh, PA",Canada,th,st,64,51,40.4467,-79.9094,0.001232310,2902,3000,2355000,2354926
"Phoenix-Mesa-Scottsdale, AZ",Canada,th,th,8,4,33.2681,-112.1432,0.007112553,31908,32000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Canada,th,st,59,21,39.9494,-75.2383,0.001366631,8265,8000,6048000,6047721
"Palm Bay-Melbourne-Titusville, FL",Canada,th,th,20,54,28.3067,-80.7005,0.004936836,2768,3000,561000,560683
"Oxnard-Thousand Oaks-Ventura, CA",Canada,th,rd,27,43,34.447,-119.0772,0.004054038,3418,3000,843000,843110
"Orlando-Kissimmee-Sanford, FL",Canada,th,th,38,24,28.4593,-81.4247,0.003098980,7216,7000,2329000,2328508
"North Port-Sarasota-Bradenton, FL",Canada,nd,th,2,19,27.2972,-82.3447,0.012303340,9245,9000,751000,751422
"New York-Newark-Jersey City, NY-NJ-PA",Canada,th,st,50,1,40.778,-73.7087,0.002222057,44511,45000,20031000,20031443
"New Haven-Milford, CT",Canada,th,th,37,56,41.3658,-72.8776,0.003143317,2706,3000,861000,860874
"Nashville-Davidson--Murfreesboro--Franklin, TN",Canada,rd,th,53,37,36.0303,-86.7925,0.002106911,3781,4000,1795000,1794570
"Naples-Immokalee-Marco Island, FL",Canada,th,nd,7,52,26.1457,-81.37,0.008178362,2848,3000,348000,348236
"Minneapolis-St. Paul-Bloomington, MN-WI",Canada,th,nd,47,22,45.2214,-93.5043,0.002301031,8027,8000,3488000,3488436
