MetroArea,TargetEthnicity,EthnicPop,MetroPop
"Atlanta-Sandy Springs-Roswell, GA",Africa,42590,5612777
"Baltimore-Columbia-Towson, MD",Africa,21659,2780873
"Boston-Cambridge-Newton, MA-NH",Africa,40453,4728844
"Charlotte-Concord-Gastonia, NC-SC",Africa,2061,2381152
"Chicago-Naperville-Elgin, IL-IN-WI",Africa,22783,9528396
"Columbus, OH",Africa,6625,1995004
"Dallas-Fort Worth-Arlington, TX",Africa,46587,6957123
"Denver-Aurora-Lakewood, CO",Africa,9477,2752056
"Detroit-Warren-Dearborn, MI",Africa,5882,4296731
"Houston-The Woodlands-Sugar Land, TX",Africa,47967,6482592
"Indianapolis-Carmel-Anderson, IN",Africa,3467,1968768
"Kansas City, MO-KS",Africa,5016,2070147
"Las Vegas-Henderson-Paradise, NV",Africa,7964,2070153
"Los Angeles-Long Beach-Anaheim, CA",Africa,42644,13189366
"Miami-Fort Lauderdale-West Palm Beach, FL",Africa,7371,5926955
"Minneapolis-St. Paul-Bloomington, MN-WI",Africa,39030,3488436
"Nashville-Davidson--Murfreesboro--Franklin, TN",Africa,6958,1794570
"New York-Newark-Jersey City, NY-NJ-PA",Africa,110779,20031443
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Africa,28487,6047721
"Portland-Vancouver-Hillsboro, OR-WA",Africa,2105,2351319
"Providence-Warwick, RI-MA",Africa,17057,1609359
"Riverside-San Bernardino-Ontario, CA",Africa,9971,4430646
"San Diego-Carlsbad, CA",Africa,4601,3253356
"San Francisco-Oakland-Hayward, CA",Africa,13997,4577530
"San Jose-Sunnyvale-Santa Clara, CA",Africa,3510,1943107
"Seattle-Tacoma-Bellevue, WA",Africa,22252,3671095
"Tampa-St. Petersburg-Clearwater, FL",Africa,2848,2927714
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Africa,101726,6011752
"Boston-Cambridge-Newton, MA-NH",Albania,6395,4728844
"Chicago-Naperville-Elgin, IL-IN-WI",Albania,5331,9528396
"Detroit-Warren-Dearborn, MI",Albania,9532,4296731
"Jacksonville, FL",Albania,2611,1424097
"New York-Newark-Jersey City, NY-NJ-PA",Albania,24755,20031443
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Albania,5126,6047721
"Worcester, MA-CT",Albania,2878,930667
"Akron, OH",Asia (East South and Southeast),3058,703168
"Albany-Schenectady-Troy, NY",Asia (East South and Southeast),7282,879291
"Albuquerque, NM",Asia (East South and Southeast),2385,904486
"Allentown-Bethlehem-Easton, PA-NJ",Asia (East South and Southeast),3251,830737
"Ames, IA",Asia (East South and Southeast),2971,94834
"Ann Arbor, MI",Asia (East South and Southeast),8979,358082
"Atlanta-Sandy Springs-Roswell, GA",Asia (East South and Southeast),32740,5612777
"Atlantic City-Hammonton, NJ",Asia (East South and Southeast),2147,274026
"Austin-Round Rock, TX",Asia (East South and Southeast),13832,1942615
"Bakersfield, CA",Asia (East South and Southeast),2024,871337
"Baltimore-Columbia-Towson, MD",Asia (East South and Southeast),16793,2780873
"Baton Rouge, LA",Asia (East South and Southeast),2788,824667
"Birmingham-Hoover, AL",Asia (East South and Southeast),2577,1141309
"Bloomington, IN",Asia (East South and Southeast),3695,164330
"Boston-Cambridge-Newton, MA-NH",Asia (East South and Southeast),91567,4728844
"Boulder, CO",Asia (East South and Southeast),2990,313961
"Bridgeport-Stamford-Norwalk, CT",Asia (East South and Southeast),6758,941618
"Buffalo-Cheektowaga-Niagara Falls, NY",Asia (East South and Southeast),5270,1135503
"Champaign-Urbana, IL",Asia (East South and Southeast),6731,236647
"Charlotte-Concord-Gastonia, NC-SC",Asia (East South and Southeast),5956,2381152
"Charlottesville, VA",Asia (East South and Southeast),2291,226817
"Chicago-Naperville-Elgin, IL-IN-WI",Asia (East South and Southeast),75637,9528396
"Cincinnati, OH-KY-IN",Asia (East South and Southeast),7166,2146410
"Cleveland-Elyria, OH",Asia (East South and Southeast),8436,2061630
"College Station-Bryan, TX",Asia (East South and Southeast),3476,243850
"Columbia, MO",Asia (East South and Southeast),2276,172773
"Columbia, SC",Asia (East South and Southeast),2078,800559
"Columbus, OH",Asia (East South and Southeast),11851,1995004
"Dallas-Fort Worth-Arlington, TX",Asia (East South and Southeast),40802,6957123
"Dayton, OH",Asia (East South and Southeast),3188,800950
"Denver-Aurora-Lakewood, CO",Asia (East South and Southeast),12947,2752056
"Detroit-Warren-Dearborn, MI",Asia (East South and Southeast),18091,4296731
"Durham-Chapel Hill, NC",Asia (East South and Southeast),6352,542399
"Eugene, OR",Asia (East South and Southeast),2396,360273
"Fresno, CA",Asia (East South and Southeast),3051,963160
"Gainesville, FL",Asia (East South and Southeast),2377,273614
"Grand Rapids-Wyoming, MI",Asia (East South and Southeast),2504,1028173
"Harrisburg-Carlisle, PA",Asia (East South and Southeast),2277,561447
"Hartford-West Hartford-East Hartford, CT",Asia (East South and Southeast),6610,1211826
"Houston-The Woodlands-Sugar Land, TX",Asia (East South and Southeast),63884,6482592
"Indianapolis-Carmel-Anderson, IN",Asia (East South and Southeast),6929,1968768
"Iowa City, IA",Asia (East South and Southeast),3638,164121
"Ithaca, NY",Asia (East South and Southeast),4134,104268
"Jacksonville, FL",Asia (East South and Southeast),4243,1424097
"Kansas City, MO-KS",Asia (East South and Southeast),6459,2070147
"Lafayette-West Lafayette, IN",Asia (East South and Southeast),6315,212113
"Lansing-East Lansing, MI",Asia (East South and Southeast),4791,470348
"Las Vegas-Henderson-Paradise, NV",Asia (East South and Southeast),20774,2070153
"Lexington-Fayette, KY",Asia (East South and Southeast),2833,495193
"Lincoln, NE",Asia (East South and Southeast),2104,318820
"Los Angeles-Long Beach-Anaheim, CA",Asia (East South and Southeast),357325,13189366
"Louisville/Jefferson County, KY-IN",Asia (East South and Southeast),2432,1269550
"Madison, WI",Asia (East South and Southeast),5881,634269
"Manchester-Nashua, NH",Asia (East South and Southeast),2033,404948
"Memphis, TN-MS-AR",Asia (East South and Southeast),3213,1341339
"Miami-Fort Lauderdale-West Palm Beach, FL",Asia (East South and Southeast),20723,5926955
"Milwaukee-Waukesha-West Allis, WI",Asia (East South and Southeast),5461,1571730
"Minneapolis-St. Paul-Bloomington, MN-WI",Asia (East South and Southeast),16085,3488436
"Nashville-Davidson--Murfreesboro--Franklin, TN",Asia (East South and Southeast),4667,1794570
"New Haven-Milford, CT",Asia (East South and Southeast),6136,860874
"New Orleans-Metairie, LA",Asia (East South and Southeast),3176,1250247
"New York-Newark-Jersey City, NY-NJ-PA",Asia (East South and Southeast),530262,20031443
"Norwich-New London, CT",Asia (East South and Southeast),2873,272033
"Oklahoma City, OK",Asia (East South and Southeast),4285,1337075
"Omaha-Council Bluffs, NE-IA",Asia (East South and Southeast),2052,904834
"Orlando-Kissimmee-Sanford, FL",Asia (East South and Southeast),9177,2328508
"Oxnard-Thousand Oaks-Ventura, CA",Asia (East South and Southeast),6205,843110
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Asia (East South and Southeast),54376,6047721
"Phoenix-Mesa-Scottsdale, AZ",Asia (East South and Southeast),18636,4486153
"Pittsburgh, PA",Asia (East South and Southeast),11014,2354926
"Portland-Vancouver-Hillsboro, OR-WA",Asia (East South and Southeast),19119,2351319
"Providence-Warwick, RI-MA",Asia (East South and Southeast),7639,1609359
"Raleigh, NC",Asia (East South and Southeast),8918,1243720
"Richmond, VA",Asia (East South and Southeast),4580,1258158
"Riverside-San Bernardino-Ontario, CA",Asia (East South and Southeast),43496,4430646
"Rochester, NY",Asia (East South and Southeast),5718,1082226
"Sacramento--Roseville--Arden-Arcade, CA",Asia (East South and Southeast),34014,2242542
"Salt Lake City, UT",Asia (East South and Southeast),5182,1154504
"San Antonio-New Braunfels, TX",Asia (East South and Southeast),4864,2332345
"San Diego-Carlsbad, CA",Asia (East South and Southeast),37726,3253356
"San Francisco-Oakland-Hayward, CA",Asia (East South and Southeast),293074,4577530
"San Jose-Sunnyvale-Santa Clara, CA",Asia (East South and Southeast),112577,1943107
"Santa Cruz-Watsonville, CA",Asia (East South and Southeast),2089,270931
"Santa Maria-Santa Barbara, CA",Asia (East South and Southeast),3355,439395
"Santa Rosa, CA",Asia (East South and Southeast),2746,497776
"Seattle-Tacoma-Bellevue, WA",Asia (East South and Southeast),69490,3671095
"Springfield, MA",Asia (East South and Southeast),3546,629107
"St. Louis, MO-IL",Asia (East South and Southeast),11041,2803449
"State College, PA",Asia (East South and Southeast),3477,159178
"Stockton-Lodi, CA",Asia (East South and Southeast),4956,714860
"Syracuse, NY",Asia (East South and Southeast),3692,660652
"Tampa-St. Petersburg-Clearwater, FL",Asia (East South and Southeast),7555,2927714
"Trenton, NJ",Asia (East South and Southeast),7110,371101
"Tucson, AZ",Asia (East South and Southeast),4544,1003338
"Urban Honolulu, HI",Asia (East South and Southeast),23218,986999
"Vallejo-Fairfield, CA",Asia (East South and Southeast),2768,429596
"Virginia Beach-Norfolk-Newport News, VA-NC",Asia (East South and Southeast),5590,1714428
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Asia (East South and Southeast),87836,6011752
"Worcester, MA-CT",Asia (East South and Southeast),5633,930667
"Atlanta-Sandy Springs-Roswell, GA",Bangladesh,4879,5612777
"Atlantic City-Hammonton, NJ",Bangladesh,2713,274026
"Boston-Cambridge-Newton, MA-NH",Bangladesh,3013,4728844
"Chicago-Naperville-Elgin, IL-IN-WI",Bangladesh,3284,9528396
"Dallas-Fort Worth-Arlington, TX",Bangladesh,6269,6957123
"Detroit-Warren-Dearborn, MI",Bangladesh,12705,4296731
"Houston-The Woodlands-Sugar Land, TX",Bangladesh,3567,6482592
"Los Angeles-Long Beach-Anaheim, CA",Bangladesh,7252,13189366
"Miami-Fort Lauderdale-West Palm Beach, FL",Bangladesh,3839,5926955
"New York-Newark-Jersey City, NY-NJ-PA",Bangladesh,96168,20031443
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Bangladesh,6975,6047721
"San Francisco-Oakland-Hayward, CA",Bangladesh,2294,4577530
