MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Cuba,rd,th,23,15,38.8552,-77.5269,0.000963779,5794,6000,6012000,6011752
"Tampa-St. Petersburg-Clearwater, FL",Cuba,th,rd,4,3,28.1327,-82.4803,0.019465699,56990,57000,2928000,2927714
"San Francisco-Oakland-Hayward, CA",Cuba,th,th,26,26,37.6888,-122.0651,0.000618237,2830,3000,4578000,4577530
"Riverside-San Bernardino-Ontario, CA",Cuba,nd,th,22,19,34.6177,-116.0501,0.001085620,4810,5000,4431000,4430646
"Port St. Lucie, FL",Cuba,th,st,6,21,27.2586,-80.4072,0.009164413,4094,4000,447000,446728
"Phoenix-Mesa-Scottsdale, AZ",Cuba,st,th,21,17,33.2681,-112.1432,0.001199023,5379,5000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Cuba,th,nd,27,22,39.9494,-75.2383,0.000593777,3591,4000,6048000,6047721
"Palm Bay-Melbourne-Titusville, FL",Cuba,th,th,11,24,28.3067,-80.7005,0.005600312,3140,3000,561000,560683
"Orlando-Kissimmee-Sanford, FL",Cuba,th,th,5,4,28.4593,-81.4247,0.010112914,23548,24000,2329000,2328508
"North Port-Sarasota-Bradenton, FL",Cuba,th,th,7,13,27.2972,-82.3447,0.009000269,6763,7000,751000,751422
"New York-Newark-Jersey City, NY-NJ-PA",Cuba,th,nd,14,2,40.778,-73.7087,0.003205960,64220,64000,20031000,20031443
"New Orleans-Metairie, LA",Cuba,th,th,16,25,29.7839,-89.6135,0.002408324,3011,3000,1250000,1250247
"Naples-Immokalee-Marco Island, FL",Cuba,nd,th,2,9,26.1457,-81.37,0.042453968,14784,15000,348000,348236
"Miami-Fort Lauderdale-West Palm Beach, FL",Cuba,st,st,1,1,26.0551,-80.4596,0.127404713,755122,755000,5927000,5926955
"Louisville/Jefferson County, KY-IN",Cuba,th,th,10,11,38.3188,-85.6272,0.006477886,8224,8000,1270000,1269550
"Los Angeles-Long Beach-Anaheim, CA",Cuba,th,th,18,5,34.0786,-118.3232,0.001552008,20470,20000,13189000,13189366
"Las Vegas-Henderson-Paradise, NV",Cuba,th,th,9,8,35.9271,-115.2532,0.007635184,15806,16000,2070000,2070153
"Lakeland-Winter Haven, FL",Cuba,th,th,8,18,28.0026,-81.7382,0.007914492,5047,5000,638000,637691
"Jacksonville, FL",Cuba,th,th,12,14,30.2238,-81.8852,0.004582553,6526,7000,1424000,1424097
"Houston-The Woodlands-Sugar Land, TX",Cuba,th,th,15,6,29.6976,-95.3147,0.002830966,18352,18000,6483000,6482592
"Deltona-Daytona Beach-Ormond Beach, FL",Cuba,th,th,13,27,29.1419,-81.2095,0.004449890,2731,3000,614000,613723
"Dallas-Fort Worth-Arlington, TX",Cuba,th,th,25,16,32.744,-97.0689,0.000811399,5645,6000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Cuba,th,th,24,12,41.703,-87.9363,0.000832879,7936,8000,9528000,9528396
"Charlotte-Concord-Gastonia, NC-SC",Cuba,th,rd,20,23,35.2588,-80.889,0.001406042,3348,3000,2381000,2381152
"Cape Coral-Fort Myers, FL",Cuba,rd,th,3,7,26.5532,-81.9137,0.026034921,17729,18000,681000,680970
"Boston-Cambridge-Newton, MA-NH",Cuba,th,th,28,28,42.5684,-71.1109,0.000475592,2249,2000,4729000,4728844
"Austin-Round Rock, TX",Cuba,th,th,17,20,30.2683,-97.6515,0.002267562,4405,4000,1943000,1942615
"Atlanta-Sandy Springs-Roswell, GA",Cuba,th,th,19,10,33.7311,-84.4002,0.001526873,8570,9000,5613000,5612777
