MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Worcester, MA-CT",Dominican Republic,th,th,12,14,42.178,-71.8736,0.006332018,5893,6000,931000,930667
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Dominican Republic,th,th,20,7,38.8552,-77.5269,0.002193038,13184,13000,6012000,6011752
"Trenton, NJ",Dominican Republic,th,nd,11,22,40.2805,-74.6826,0.007806500,2897,3000,371000,371101
"Tampa-St. Petersburg-Clearwater, FL",Dominican Republic,th,th,16,8,28.1327,-82.4803,0.003593247,10520,11000,2928000,2927714
"Springfield, MA",Dominican Republic,th,st,14,21,42.2772,-72.6068,0.005196254,3269,3000,629000,629107
"Scranton--Wilkes-Barre--Hazleton, PA",Dominican Republic,th,th,4,10,41.2768,-75.8782,0.016356551,9158,9000,560000,559898
"Reading, PA",Dominican Republic,nd,th,2,12,40.4076,-75.9297,0.018720252,7752,8000,414000,414097
"Raleigh, NC",Dominican Republic,st,th,21,25,35.7604,-78.5878,0.002184575,2717,3000,1244000,1243720
"Providence-Warwick, RI-MA",Dominican Republic,rd,th,3,4,41.6397,-71.3161,0.016367386,26341,26000,1609000,1609359
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Dominican Republic,th,th,15,6,39.9494,-75.2383,0.003789527,22918,23000,6048000,6047721
"Orlando-Kissimmee-Sanford, FL",Dominican Republic,th,th,9,5,28.4593,-81.4247,0.010235739,23834,24000,2329000,2328508
"New York-Newark-Jersey City, NY-NJ-PA",Dominican Republic,st,st,1,1,40.778,-73.7087,0.030422571,609408,609000,20031000,20031443
"New Orleans-Metairie, LA",Dominican Republic,th,th,19,19,29.7839,-89.6135,0.002634679,3294,3000,1250000,1250247
"New Haven-Milford, CT",Dominican Republic,th,th,13,15,41.3658,-72.8776,0.005379417,4631,5000,861000,860874
"Miami-Fort Lauderdale-West Palm Beach, FL",Dominican Republic,th,rd,8,3,26.0551,-80.4596,0.011059811,65551,66000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Dominican Republic,th,th,28,24,34.0786,-118.3232,0.000214415,2828,3000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Dominican Republic,th,rd,25,23,29.6976,-95.3147,0.000440410,2855,3000,6483000,6482592
"Hartford-West Hartford-East Hartford, CT",Dominican Republic,th,th,18,16,41.6081,-72.6305,0.003459242,4192,4000,1212000,1211826
"Dallas-Fort Worth-Arlington, TX",Dominican Republic,th,th,27,28,32.744,-97.0689,0.000313348,2180,2000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Dominican Republic,th,th,26,20,41.703,-87.9363,0.000344339,3281,3000,9528000,9528396
"Charlotte-Concord-Gastonia, NC-SC",Dominican Republic,nd,th,22,17,35.2588,-80.889,0.001744954,4155,4000,2381000,2381152
"Cape Coral-Fort Myers, FL",Dominican Republic,th,th,17,27,26.5532,-81.9137,0.003577250,2436,2000,681000,680970
"Bridgeport-Stamford-Norwalk, CT",Dominican Republic,th,th,10,11,41.3084,-73.3137,0.008483270,7988,8000,942000,941618
"Boston-Cambridge-Newton, MA-NH",Dominican Republic,th,nd,5,2,42.5684,-71.1109,0.014968775,70785,71000,4729000,4728844
"Baltimore-Columbia-Towson, MD",Dominican Republic,th,th,24,26,39.216,-76.6747,0.000929564,2585,3000,2781000,2780873
"Atlantic City-Hammonton, NJ",Dominican Republic,th,th,6,18,39.5086,-74.6812,0.014527819,3981,4000,274000,274026
"Atlanta-Sandy Springs-Roswell, GA",Dominican Republic,rd,th,23,13,33.7311,-84.4002,0.001334277,7489,7000,5613000,5612777
"Allentown-Bethlehem-Easton, PA-NJ",Dominican Republic,th,th,7,9,40.7763,-75.3629,0.012031485,9995,10000,831000,830737
