MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Ecuador,th,th,13,7,38.8552,-77.5269,0.001138437,6844,7000,6012000,6011752
"Trenton, NJ",Ecuador,rd,th,3,16,40.2805,-74.6826,0.008375078,3108,3000,371000,371101
"Tampa-St. Petersburg-Clearwater, FL",Ecuador,th,th,11,11,28.1327,-82.4803,0.001373085,4020,4000,2928000,2927714
"Riverside-San Bernardino-Ontario, CA",Ecuador,th,th,16,17,34.6177,-116.0501,0.000691773,3065,3000,4431000,4430646
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Ecuador,th,th,15,10,39.9494,-75.2383,0.000727712,4401,4000,6048000,6047721
"Orlando-Kissimmee-Sanford, FL",Ecuador,th,th,7,6,28.4593,-81.4247,0.003139779,7311,7000,2329000,2328508
"New York-Newark-Jersey City, NY-NJ-PA",Ecuador,st,st,1,1,40.778,-73.7087,0.012348436,247357,247000,20031000,20031443
"New Haven-Milford, CT",Ecuador,th,th,4,8,41.3658,-72.8776,0.005895172,5075,5000,861000,860874
"Minneapolis-St. Paul-Bloomington, MN-WI",Ecuador,th,th,10,9,45.2214,-93.5043,0.001449360,5056,5000,3488000,3488436
"Miami-Fort Lauderdale-West Palm Beach, FL",Ecuador,th,nd,5,2,26.0551,-80.4596,0.004968487,29448,29000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Ecuador,th,th,12,4,34.0786,-118.3232,0.001157978,15273,15000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Ecuador,th,th,17,12,29.6976,-95.3147,0.000575233,3729,4000,6483000,6482592
"Dallas-Fort Worth-Arlington, TX",Ecuador,th,th,18,15,32.744,-97.0689,0.000479221,3334,3000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Ecuador,th,rd,8,3,41.703,-87.9363,0.001789073,17047,17000,9528000,9528396
"Charlotte-Concord-Gastonia, NC-SC",Ecuador,th,th,9,13,35.2588,-80.889,0.001550930,3693,4000,2381000,2381152
"Bridgeport-Stamford-Norwalk, CT",Ecuador,nd,th,2,5,41.3084,-73.3137,0.011159515,10508,11000,942000,941618
"Boston-Cambridge-Newton, MA-NH",Ecuador,th,th,14,14,42.5684,-71.1109,0.000732949,3466,3000,4729000,4728844
"Allentown-Bethlehem-Easton, PA-NJ",Ecuador,th,th,6,18,40.7763,-75.3629,0.003147807,2615,3000,831000,830737
