MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Egypt,th,rd,5,3,38.8552,-77.5269,0.001349357,8112,8000,6012000,6011752
"Tampa-St. Petersburg-Clearwater, FL",Egypt,th,th,6,13,28.1327,-82.4803,0.000972773,2848,3000,2928000,2927714
"Seattle-Tacoma-Bellevue, WA",Egypt,th,th,14,16,47.5137,-121.885,0.000553513,2032,2000,3671000,3671095
"San Francisco-Oakland-Hayward, CA",Egypt,th,th,8,12,37.6888,-122.0651,0.000644452,2950,3000,4578000,4577530
"San Diego-Carlsbad, CA",Egypt,th,th,10,15,33.0164,-116.7305,0.000634114,2063,2000,3253000,3253356
"Riverside-San Bernardino-Ontario, CA",Egypt,th,th,4,5,34.6177,-116.0501,0.001358944,6021,6000,4431000,4430646
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Egypt,th,th,9,7,39.9494,-75.2383,0.000643879,3894,4000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Egypt,nd,st,2,1,40.778,-73.7087,0.002446354,49004,49000,20031000,20031443
"Nashville-Davidson--Murfreesboro--Franklin, TN",Egypt,st,th,1,4,36.0303,-86.7925,0.003877252,6958,7000,1795000,1794570
"Miami-Fort Lauderdale-West Palm Beach, FL",Egypt,th,th,11,10,26.0551,-80.4596,0.000625616,3708,4000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Egypt,rd,nd,3,2,34.0786,-118.3232,0.001547610,20412,20000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Egypt,th,th,13,8,29.6976,-95.3147,0.000600531,3893,4000,6483000,6482592
"Detroit-Warren-Dearborn, MI",Egypt,th,th,12,14,42.6774,-83.3276,0.000624661,2684,3000,4297000,4296731
"Dallas-Fort Worth-Arlington, TX",Egypt,th,th,16,11,32.744,-97.0689,0.000438112,3048,3000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Egypt,th,th,15,6,41.703,-87.9363,0.000457790,4362,4000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Egypt,th,th,7,9,42.5684,-71.1109,0.000802099,3793,4000,4729000,4728844
