MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Worcester, MA-CT",El Salvador,th,rd,38,53,42.178,-71.8736,0.002172635,2022,2000,931000,930667
"Winston-Salem, NC",El Salvador,th,th,20,38,36.0275,-80.3688,0.005038276,3298,3000,655000,654589
"Washington-Arlington-Alexandria, DC-VA-MD-WV",El Salvador,st,nd,1,2,38.8552,-77.5269,0.030642149,184213,184000,6012000,6011752
"Virginia Beach-Norfolk-Newport News, VA-NC",El Salvador,rd,th,43,47,36.8161,-76.3797,0.001600534,2744,3000,1714000,1714428
"Vallejo-Fairfield, CA",El Salvador,th,st,14,41,38.2855,-121.9018,0.007241688,3111,3000,430000,429596
"Tampa-St. Petersburg-Clearwater, FL",El Salvador,th,th,50,35,28.1327,-82.4803,0.001213575,3553,4000,2928000,2927714
"Stockton-Lodi, CA",El Salvador,th,th,29,50,37.8911,-121.2479,0.003541952,2532,3000,715000,714860
"Seattle-Tacoma-Bellevue, WA",El Salvador,th,th,40,18,47.5137,-121.885,0.001926673,7073,7000,3671000,3671095
"Santa Rosa, CA",El Salvador,st,st,21,51,38.4629,-122.8943,0.004867651,2423,2000,498000,497776
"San Jose-Sunnyvale-Santa Clara, CA",El Salvador,nd,th,22,14,36.8407,-121.3746,0.004821659,9369,9000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",El Salvador,th,th,6,5,37.6888,-122.0651,0.012040992,55118,55000,4578000,4577530
"San Diego-Carlsbad, CA",El Salvador,th,th,46,28,33.0164,-116.7305,0.001430523,4654,5000,3253000,3253356
"San Antonio-New Braunfels, TX",El Salvador,th,rd,44,33,29.376,-98.6267,0.001556802,3631,4000,2332000,2332345
"Salt Lake City, UT",El Salvador,rd,th,33,39,40.4903,-112.926,0.002798604,3231,3000,1155000,1154504
"Salinas, CA",El Salvador,th,nd,8,32,36.3545,-121.5249,0.008714531,3749,4000,430000,430201
"Sacramento--Roseville--Arden-Arcade, CA",El Salvador,th,th,36,24,38.6673,-121.1593,0.002466843,5532,6000,2243000,2242542
"Riverside-San Bernardino-Ontario, CA",El Salvador,th,th,15,8,34.6177,-116.0501,0.007211138,31950,32000,4431000,4430646
"Richmond, VA",El Salvador,rd,th,23,20,37.48,-77.437,0.004710060,5926,6000,1258000,1258158
"Reno, NV",El Salvador,th,th,11,37,40.582,-119.6546,0.007642135,3392,3000,444000,443855
"Raleigh, NC",El Salvador,th,th,28,27,35.7604,-78.5878,0.003749236,4663,5000,1244000,1243720
"Providence-Warwick, RI-MA",El Salvador,th,st,37,31,41.6397,-71.3161,0.002348761,3780,4000,1609000,1609359
"Portland-Vancouver-Hillsboro, OR-WA",El Salvador,st,th,51,45,45.6371,-122.6727,0.001184867,2786,3000,2351000,2351319
"Phoenix-Mesa-Scottsdale, AZ",El Salvador,nd,th,42,16,33.2681,-112.1432,0.001716170,7699,8000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",El Salvador,rd,th,53,26,39.9494,-75.2383,0.000797490,4823,5000,6048000,6047721
"Oxnard-Thousand Oaks-Ventura, CA",El Salvador,th,th,26,40,34.447,-119.0772,0.003816821,3218,3000,843000,843110
"Orlando-Kissimmee-Sanford, FL",El Salvador,st,th,41,30,28.4593,-81.4247,0.001827350,4255,4000,2329000,2328508
"Omaha-Council Bluffs, NE-IA",El Salvador,th,th,30,44,41.3245,-96.0317,0.003172958,2871,3000,905000,904834
"New York-Newark-Jersey City, NY-NJ-PA",El Salvador,th,rd,10,3,40.778,-73.7087,0.007715071,154544,155000,20031000,20031443
"New Orleans-Metairie, LA",El Salvador,th,th,34,36,29.7839,-89.6135,0.002757855,3448,3000,1250000,1250247
"Nashville-Davidson--Murfreesboro--Franklin, TN",El Salvador,th,th,35,29,36.0303,-86.7925,0.002523724,4529,5000,1795000,1794570
"Minneapolis-St. Paul-Bloomington, MN-WI",El Salvador,th,th,45,25,45.2214,-93.5043,0.001449933,5058,5000,3488000,3488436
"Miami-Fort Lauderdale-West Palm Beach, FL",El Salvador,th,th,25,9,26.0551,-80.4596,0.004329036,25658,26000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",El Salvador,nd,st,2,1,34.0786,-118.3232,0.021325968,281276,281000,13189000,13189366
