MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",England,th,th,18,5,38.8552,-77.5269,0.001296627,7795,8000,6012000,6011752
"Tampa-St. Petersburg-Clearwater, FL",England,rd,th,3,8,28.1327,-82.4803,0.002298722,6730,7000,2928000,2927714
"Seattle-Tacoma-Bellevue, WA",England,th,th,13,14,47.5137,-121.885,0.001593802,5851,6000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",England,th,th,7,20,36.8407,-121.3746,0.001811017,3519,4000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",England,th,rd,4,3,37.6888,-122.0651,0.002209925,10116,10000,4578000,4577530
"San Diego-Carlsbad, CA",England,th,th,5,10,33.0164,-116.7305,0.002052035,6676,7000,3253000,3253356
"Sacramento--Roseville--Arden-Arcade, CA",England,th,rd,16,23,38.6673,-121.1593,0.001387711,3112,3000,2243000,2242542
"Riverside-San Bernardino-Ontario, CA",England,nd,th,22,16,34.6177,-116.0501,0.001095326,4853,5000,4431000,4430646
"Portland-Vancouver-Hillsboro, OR-WA",England,th,th,11,18,45.6371,-122.6727,0.001624195,3819,4000,2351000,2351319
"Phoenix-Mesa-Scottsdale, AZ",England,th,th,17,12,33.2681,-112.1432,0.001361077,6106,6000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",England,th,th,26,15,39.9494,-75.2383,0.000950771,5750,6000,6048000,6047721
"Orlando-Kissimmee-Sanford, FL",England,th,th,6,17,28.4593,-81.4247,0.001859560,4330,4000,2329000,2328508
"North Port-Sarasota-Bradenton, FL",England,st,th,1,25,27.2972,-82.3447,0.003702314,2782,3000,751000,751422
"New York-Newark-Jersey City, NY-NJ-PA",England,th,st,14,1,40.778,-73.7087,0.001499642,30040,30000,20031000,20031443
"Minneapolis-St. Paul-Bloomington, MN-WI",England,th,th,30,29,45.2214,-93.5043,0.000628075,2191,2000,3488000,3488436
"Miami-Fort Lauderdale-West Palm Beach, FL",England,th,th,9,4,26.0551,-80.4596,0.001663586,9860,10000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",England,th,nd,10,2,34.0786,-118.3232,0.001657699,21864,22000,13189000,13189366
"Las Vegas-Henderson-Paradise, NV",England,th,nd,12,22,35.9271,-115.2532,0.001596500,3305,3000,2070000,2070153
"Houston-The Woodlands-Sugar Land, TX",England,rd,th,23,7,29.6976,-95.3147,0.001049426,6803,7000,6483000,6482592
"Hartford-West Hartford-East Hartford, CT",England,th,th,8,30,41.6081,-72.6305,0.001745300,2115,2000,1212000,1211826
"Detroit-Warren-Dearborn, MI",England,th,th,28,19,42.6774,-83.3276,0.000835053,3588,4000,4297000,4296731
"Denver-Aurora-Lakewood, CO",England,th,st,20,21,39.3686,-104.8662,0.001226719,3376,3000,2752000,2752056
"Dallas-Fort Worth-Arlington, TX",England,th,th,27,13,32.744,-97.0689,0.000866738,6030,6000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",England,th,th,29,9,41.703,-87.9363,0.000702322,6692,7000,9528000,9528396
"Charlotte-Concord-Gastonia, NC-SC",England,th,th,25,28,35.2588,-80.889,0.000987757,2352,2000,2381000,2381152
"Bridgeport-Stamford-Norwalk, CT",England,nd,th,2,27,41.3084,-73.3137,0.002505262,2359,2000,942000,941618
"Boston-Cambridge-Newton, MA-NH",England,th,th,15,6,42.5684,-71.1109,0.001474779,6974,7000,4729000,4728844
"Baltimore-Columbia-Towson, MD",England,th,th,24,24,39.216,-76.6747,0.001023420,2846,3000,2781000,2780873
"Austin-Round Rock, TX",England,th,th,19,26,30.2683,-97.6515,0.001258613,2445,2000,1943000,1942615
"Atlanta-Sandy Springs-Roswell, GA",England,st,th,21,11,33.7311,-84.4002,0.001125824,6319,6000,5613000,5612777
