MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",France,th,th,5,5,38.8552,-77.5269,0.001353349,8136,8000,6012000,6011752
"Seattle-Tacoma-Bellevue, WA",France,th,th,9,12,47.5137,-121.885,0.000827001,3036,3000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",France,nd,th,2,9,36.8407,-121.3746,0.001747716,3396,3000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",France,st,rd,1,3,37.6888,-122.0651,0.002073826,9493,9000,4578000,4577530
"San Diego-Carlsbad, CA",France,th,th,7,10,33.0164,-116.7305,0.001025095,3335,3000,3253000,3253356
"Phoenix-Mesa-Scottsdale, AZ",France,th,th,14,15,33.2681,-112.1432,0.000462757,2076,2000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",France,th,th,11,11,39.9494,-75.2383,0.000510936,3090,3000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",France,th,st,4,1,40.778,-73.7087,0.001469390,29434,29000,20031000,20031443
"Miami-Fort Lauderdale-West Palm Beach, FL",France,rd,th,3,4,26.0551,-80.4596,0.001549868,9186,9000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",France,th,nd,8,2,34.0786,-118.3232,0.000974270,12850,13000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",France,th,th,10,8,29.6976,-95.3147,0.000656836,4258,4000,6483000,6482592
"Dallas-Fort Worth-Arlington, TX",France,th,th,15,14,32.744,-97.0689,0.000358769,2496,2000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",France,th,th,13,7,41.703,-87.9363,0.000478570,4560,5000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",France,th,th,6,6,42.5684,-71.1109,0.001261408,5965,6000,4729000,4728844
"Atlanta-Sandy Springs-Roswell, GA",France,th,th,12,13,33.7311,-84.4002,0.000484965,2722,3000,5613000,5612777
