MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Germany,th,th,15,4,38.8552,-77.5269,0.002588763,15563,16000,6012000,6011752
"Virginia Beach-Norfolk-Newport News, VA-NC",Germany,th,th,24,29,36.8161,-76.3797,0.002361137,4048,4000,1714000,1714428
"Tucson, AZ",Germany,th,th,11,38,31.9703,-111.7845,0.003090683,3101,3000,1003000,1003338
"Tampa-St. Petersburg-Clearwater, FL",Germany,th,th,12,13,28.1327,-82.4803,0.002983556,8735,9000,2928000,2927714
"St. Louis, MO-IL",Germany,th,th,46,28,38.7628,-90.3359,0.001571279,4405,4000,2803000,2803449
"Seattle-Tacoma-Bellevue, WA",Germany,th,th,10,7,47.5137,-121.885,0.003197411,11738,12000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",Germany,th,th,9,19,36.8407,-121.3746,0.003208264,6234,6000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Germany,th,th,8,5,37.6888,-122.0651,0.003372124,15436,15000,4578000,4577530
"San Diego-Carlsbad, CA",Germany,th,th,25,15,33.0164,-116.7305,0.002353262,7656,8000,3253000,3253356
"San Antonio-New Braunfels, TX",Germany,st,nd,31,22,29.376,-98.6267,0.002202504,5137,5000,2332000,2332345
"Salt Lake City, UT",Germany,th,th,38,49,40.4903,-112.926,0.001961881,2265,2000,1155000,1154504
"Sacramento--Roseville--Arden-Arcade, CA",Germany,th,rd,29,23,38.6673,-121.1593,0.002229167,4999,5000,2243000,2242542
"Rochester, NY",Germany,th,th,17,44,43.0717,-77.3205,0.002504098,2710,3000,1082000,1082226
"Riverside-San Bernardino-Ontario, CA",Germany,th,th,48,18,34.6177,-116.0501,0.001431620,6343,6000,4431000,4430646
"Richmond, VA",Germany,th,st,27,41,37.48,-77.437,0.002253294,2835,3000,1258000,1258158
"Providence-Warwick, RI-MA",Germany,th,th,50,54,41.6397,-71.3161,0.001344635,2164,2000,1609000,1609359
"Portland-Vancouver-Hillsboro, OR-WA",Germany,rd,st,23,21,45.6371,-122.6727,0.002371010,5575,6000,2351000,2351319
"Pittsburgh, PA",Germany,th,th,47,36,40.4467,-79.9094,0.001462042,3443,3000,2355000,2354926
"Phoenix-Mesa-Scottsdale, AZ",Germany,th,th,36,12,33.2681,-112.1432,0.002002830,8985,9000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Germany,st,th,41,8,39.9494,-75.2383,0.001793568,10847,11000,6048000,6047721
"Palm Bay-Melbourne-Titusville, FL",Germany,th,nd,6,52,28.3067,-80.7005,0.004000478,2243,2000,561000,560683
