MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Worcester, MA-CT",Ghana,st,th,1,7,42.178,-71.8736,0.005142548,4786,5000,931000,930667
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Ghana,nd,nd,2,2,38.8552,-77.5269,0.003641534,21892,22000,6012000,6011752
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Ghana,th,th,9,6,39.9494,-75.2383,0.000806254,4876,5000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Ghana,th,st,5,1,40.778,-73.7087,0.002031706,40698,41000,20031000,20031443
"Minneapolis-St. Paul-Bloomington, MN-WI",Ghana,th,th,11,12,45.2214,-93.5043,0.000671934,2344,2000,3488000,3488436
"Los Angeles-Long Beach-Anaheim, CA",Ghana,th,th,14,14,34.0786,-118.3232,0.000167256,2206,2000,13189000,13189366
"Hartford-West Hartford-East Hartford, CT",Ghana,th,th,4,10,41.6081,-72.6305,0.002070429,2509,3000,1212000,1211826
"Denver-Aurora-Lakewood, CO",Ghana,th,th,8,11,39.3686,-104.8662,0.000907322,2497,2000,2752000,2752056
"Dallas-Fort Worth-Arlington, TX",Ghana,th,th,12,8,32.744,-97.0689,0.000595792,4145,4000,6957000,6957123
"Columbus, OH",Ghana,rd,th,3,5,40.0371,-82.8533,0.002829568,5645,6000,1995000,1995004
"Chicago-Naperville-Elgin, IL-IN-WI",Ghana,th,th,10,4,41.703,-87.9363,0.000677659,6457,6000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Ghana,th,th,13,13,42.5684,-71.1109,0.000479398,2267,2000,4729000,4728844
"Baltimore-Columbia-Towson, MD",Ghana,th,th,7,9,39.216,-76.6747,0.001161146,3229,3000,2781000,2780873
"Atlanta-Sandy Springs-Roswell, GA",Ghana,th,rd,6,3,33.7311,-84.4002,0.001278155,7174,7000,5613000,5612777
