MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Greece,th,th,8,7,38.8552,-77.5269,0.000621782,3738,4000,6012000,6011752
"Tampa-St. Petersburg-Clearwater, FL",Greece,th,th,5,6,28.1327,-82.4803,0.001467698,4297,4000,2928000,2927714
"San Francisco-Oakland-Hayward, CA",Greece,th,th,9,10,37.6888,-122.0651,0.000542432,2483,2000,4578000,4577530
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Greece,th,th,6,5,39.9494,-75.2383,0.000813530,4920,5000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Greece,rd,st,3,1,40.778,-73.7087,0.001715952,34373,34000,20031000,20031443
"Miami-Fort Lauderdale-West Palm Beach, FL",Greece,th,th,10,9,26.0551,-80.4596,0.000469044,2780,3000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Greece,th,th,11,4,34.0786,-118.3232,0.000409724,5404,5000,13189000,13189366
"Detroit-Warren-Dearborn, MI",Greece,th,th,7,8,42.6774,-83.3276,0.000677725,2912,3000,4297000,4296731
"Chicago-Naperville-Elgin, IL-IN-WI",Greece,th,nd,4,2,41.703,-87.9363,0.001543282,14705,15000,9528000,9528396
"Bridgeport-Stamford-Norwalk, CT",Greece,st,th,1,11,41.3084,-73.3137,0.002277994,2145,2000,942000,941618
"Boston-Cambridge-Newton, MA-NH",Greece,nd,rd,2,3,42.5684,-71.1109,0.001886931,8923,9000,4729000,4728844
