MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Guatemala,th,rd,9,3,38.8552,-77.5269,0.007589468,45626,46000,6012000,6011752
"Trenton, NJ",Guatemala,st,th,1,13,40.2805,-74.6826,0.031692181,11761,12000,371000,371101
"Tampa-St. Petersburg-Clearwater, FL",Guatemala,th,th,46,30,28.1327,-82.4803,0.001474529,4317,4000,2928000,2927714
"Seattle-Tacoma-Bellevue, WA",Guatemala,st,th,41,19,47.5137,-121.885,0.001668984,6127,6000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",Guatemala,th,th,40,40,36.8407,-121.3746,0.001746687,3394,3000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Guatemala,th,th,11,6,37.6888,-122.0651,0.006705800,30696,31000,4578000,4577530
"San Diego-Carlsbad, CA",Guatemala,th,th,36,18,33.0164,-116.7305,0.001912794,6223,6000,3253000,3253356
"San Antonio-New Braunfels, TX",Guatemala,th,th,49,44,29.376,-98.6267,0.001073598,2504,3000,2332000,2332345
"Salisbury, MD-DE",Guatemala,th,rd,5,33,38.4443,-75.4108,0.010587273,4130,4000,390000,390091
"Sacramento--Roseville--Arden-Arcade, CA",Guatemala,rd,th,43,39,38.6673,-121.1593,0.001515245,3398,3000,2243000,2242542
"Riverside-San Bernardino-Ontario, CA",Guatemala,th,th,14,9,34.6177,-116.0501,0.005134691,22750,23000,4431000,4430646
"Richmond, VA",Guatemala,th,nd,20,22,37.48,-77.437,0.004378623,5509,6000,1258000,1258158
"Reno, NV",Guatemala,th,th,15,48,40.582,-119.6546,0.005035428,2235,2000,444000,443855
"Raleigh, NC",Guatemala,th,th,38,47,35.7604,-78.5878,0.001843663,2293,2000,1244000,1243720
"Providence-Warwick, RI-MA",Guatemala,th,th,6,11,41.6397,-71.3161,0.010535872,16956,17000,1609000,1609359
"Portland-Vancouver-Hillsboro, OR-WA",Guatemala,th,th,37,26,45.6371,-122.6727,0.001894681,4455,4000,2351000,2351319
"Port St. Lucie, FL",Guatemala,th,th,7,36,27.2586,-80.4072,0.008497341,3796,4000,447000,446728
"Phoenix-Mesa-Scottsdale, AZ",Guatemala,st,th,31,15,33.2681,-112.1432,0.002169565,9733,10000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Guatemala,th,th,47,17,39.9494,-75.2383,0.001438062,8697,9000,6048000,6047721
"Oxnard-Thousand Oaks-Ventura, CA",Guatemala,th,th,13,29,34.447,-119.0772,0.005157097,4348,4000,843000,843110
"Orlando-Kissimmee-Sanford, FL",Guatemala,th,th,27,20,28.4593,-81.4247,0.002603813,6063,6000,2329000,2328508
"Omaha-Council Bluffs, NE-IA",Guatemala,th,th,30,49,41.3245,-96.0317,0.002396020,2168,2000,905000,904834
"Oklahoma City, OK",Guatemala,nd,th,22,24,35.4226,-97.724,0.003660228,4894,5000,1337000,1337075
"North Port-Sarasota-Bradenton, FL",Guatemala,th,th,26,50,27.2972,-82.3447,0.002758769,2073,2000,751000,751422
"New York-Newark-Jersey City, NY-NJ-PA",Guatemala,th,nd,19,2,40.778,-73.7087,0.004531076,90764,91000,20031000,20031443
"New Orleans-Metairie, LA",Guatemala,th,st,24,31,29.7839,-89.6135,0.003367335,4210,4000,1250000,1250247
"Nashville-Davidson--Murfreesboro--Franklin, TN",Guatemala,th,th,28,28,36.0303,-86.7925,0.002458528,4412,4000,1795000,1794570
"Naples-Immokalee-Marco Island, FL",Guatemala,rd,th,3,27,26.1457,-81.37,0.012724130,4431,4000,348000,348236
"Minneapolis-St. Paul-Bloomington, MN-WI",Guatemala,th,th,50,38,45.2214,-93.5043,0.000986402,3441,3000,3488000,3488436
"Miami-Fort Lauderdale-West Palm Beach, FL",Guatemala,th,th,10,4,26.0551,-80.4596,0.007153252,42397,42000,5927000,5926955
"Memphis, TN-MS-AR",Guatemala,th,th,39,46,35.0381,-89.7993,0.001756454,2356,2000,1341000,1341339
"Los Angeles-Long Beach-Anaheim, CA",Guatemala,nd,st,2,1,34.0786,-118.3232,0.014288556,188457,188000,13189000,13189366
"Las Vegas-Henderson-Paradise, NV",Guatemala,th,th,17,16,35.9271,-115.2532,0.004680813,9690,10000,2070000,2070153
"Kansas City, MO-KS",Guatemala,th,st,44,41,38.9071,-94.585,0.001501343,3108,3000,2070000,2070147
"Indianapolis-Carmel-Anderson, IN",Guatemala,th,th,48,45,39.7141,-86.3223,0.001233766,2429,2000,1969000,1968768
