MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Guyana,th,th,5,4,38.8552,-77.5269,0.001408907,8470,8000,6012000,6011752
"Tampa-St. Petersburg-Clearwater, FL",Guyana,th,th,6,7,28.1327,-82.4803,0.001285986,3765,4000,2928000,2927714
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Guyana,th,th,9,9,39.9494,-75.2383,0.000550786,3331,3000,6048000,6047721
"Orlando-Kissimmee-Sanford, FL",Guyana,rd,nd,3,2,28.4593,-81.4247,0.004958969,11547,12000,2329000,2328508
"New York-Newark-Jersey City, NY-NJ-PA",Guyana,st,st,1,1,40.778,-73.7087,0.008757332,175422,175000,20031000,20031443
"Minneapolis-St. Paul-Bloomington, MN-WI",Guyana,th,th,8,8,45.2214,-93.5043,0.000972356,3392,3000,3488000,3488436
"Miami-Fort Lauderdale-West Palm Beach, FL",Guyana,th,rd,4,3,26.0551,-80.4596,0.001778654,10542,11000,5927000,5926955
"Houston-The Woodlands-Sugar Land, TX",Guyana,th,th,11,10,29.6976,-95.3147,0.000354951,2301,2000,6483000,6482592
"Boston-Cambridge-Newton, MA-NH",Guyana,th,th,10,11,42.5684,-71.1109,0.000437316,2068,2000,4729000,4728844
"Atlanta-Sandy Springs-Roswell, GA",Guyana,th,th,7,5,33.7311,-84.4002,0.001034426,5806,6000,5613000,5612777
"Albany-Schenectady-Troy, NY",Guyana,nd,th,2,6,42.8758,-73.7017,0.006063977,5332,5000,879000,879291
