MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Haiti,th,th,17,12,38.8552,-77.5269,0.001062253,6386,6000,6012000,6011752
"Trenton, NJ",Haiti,th,th,8,17,40.2805,-74.6826,0.008838564,3280,3000,371000,371101
"Tampa-St. Petersburg-Clearwater, FL",Haiti,th,th,12,9,28.1327,-82.4803,0.002789548,8167,8000,2928000,2927714
"Salisbury, MD-DE",Haiti,th,th,11,18,38.4443,-75.4108,0.007777672,3034,3000,390000,390091
"Providence-Warwick, RI-MA",Haiti,th,th,14,15,41.6397,-71.3161,0.002498510,4021,4000,1609000,1609359
"Port St. Lucie, FL",Haiti,rd,th,3,11,27.2586,-80.4072,0.015230744,6804,7000,447000,446728
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Haiti,th,th,16,5,39.9494,-75.2383,0.002413636,14597,15000,6048000,6047721
"Orlando-Kissimmee-Sanford, FL",Haiti,th,th,4,4,28.4593,-81.4247,0.014529476,33832,34000,2329000,2328508
"New York-Newark-Jersey City, NY-NJ-PA",Haiti,th,nd,9,2,40.778,-73.7087,0.008294709,166155,166000,20031000,20031443
"Naples-Immokalee-Marco Island, FL",Haiti,nd,th,2,7,26.1457,-81.37,0.029971054,10437,10000,348000,348236
"Miami-Fort Lauderdale-West Palm Beach, FL",Haiti,st,st,1,1,26.0551,-80.4596,0.036739945,217756,218000,5927000,5926955
"Lakeland-Winter Haven, FL",Haiti,th,th,10,13,28.0026,-81.7382,0.008203033,5231,5000,638000,637691
"Jacksonville, FL",Haiti,th,th,13,16,30.2238,-81.8852,0.002565836,3654,4000,1424000,1424097
"Chicago-Naperville-Elgin, IL-IN-WI",Haiti,th,th,18,14,41.703,-87.9363,0.000497670,4742,5000,9528000,9528396
"Cape Coral-Fort Myers, FL",Haiti,th,th,5,10,26.5532,-81.9137,0.011219290,7640,8000,681000,680970
"Bridgeport-Stamford-Norwalk, CT",Haiti,th,th,6,8,41.3084,-73.3137,0.010233449,9636,10000,942000,941618
"Boston-Cambridge-Newton, MA-NH",Haiti,th,rd,7,3,42.5684,-71.1109,0.010031416,47437,47000,4729000,4728844
"Atlanta-Sandy Springs-Roswell, GA",Haiti,th,th,15,6,33.7311,-84.4002,0.002446561,13732,14000,5613000,5612777
