MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Hong Kong,th,th,10,8,38.8552,-77.5269,0.000838524,5041,5000,6012000,6011752
"Urban Honolulu, HI",Hong Kong,rd,th,3,11,21.4812,-157.9695,0.003555221,3509,4000,987000,986999
"Seattle-Tacoma-Bellevue, WA",Hong Kong,th,th,6,5,47.5137,-121.885,0.002114628,7763,8000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",Hong Kong,nd,th,2,4,36.8407,-121.3746,0.005598251,10878,11000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Hong Kong,st,nd,1,2,37.6888,-122.0651,0.009248219,42334,42000,4578000,4577530
"San Diego-Carlsbad, CA",Hong Kong,th,th,9,12,33.0164,-116.7305,0.000890465,2897,3000,3253000,3253356
"Sacramento--Roseville--Arden-Arcade, CA",Hong Kong,th,th,7,10,38.6673,-121.1593,0.001704762,3823,4000,2243000,2242542
"Riverside-San Bernardino-Ontario, CA",Hong Kong,th,th,13,14,34.6177,-116.0501,0.000554321,2456,2000,4431000,4430646
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Hong Kong,th,th,14,13,39.9494,-75.2383,0.000449425,2718,3000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Hong Kong,th,st,5,1,40.778,-73.7087,0.002329438,46662,47000,20031000,20031443
"Miami-Fort Lauderdale-West Palm Beach, FL",Hong Kong,th,th,15,16,26.0551,-80.4596,0.000367474,2178,2000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Hong Kong,th,rd,4,3,34.0786,-118.3232,0.002476541,32664,33000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Hong Kong,th,th,11,9,29.6976,-95.3147,0.000719620,4665,5000,6483000,6482592
"Dallas-Fort Worth-Arlington, TX",Hong Kong,th,th,16,15,32.744,-97.0689,0.000337065,2345,2000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Hong Kong,th,th,12,7,41.703,-87.9363,0.000581315,5539,6000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Hong Kong,th,th,8,6,42.5684,-71.1109,0.001587069,7505,8000,4729000,4728844
