MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Yuba City, CA",India,nd,th,2,49,39.1868,-121.6103,0.040011104,6774,7000,169000,169303
"Worcester, MA-CT",India,nd,th,32,44,42.178,-71.8736,0.009370699,8721,9000,931000,930667
"Washington-Arlington-Alexandria, DC-VA-MD-WV",India,th,th,10,5,38.8552,-77.5269,0.015566677,93583,94000,6012000,6011752
"Virginia Beach-Norfolk-Newport News, VA-NC",India,th,th,95,68,36.8161,-76.3797,0.002322057,3981,4000,1714000,1714428
"Vallejo-Fairfield, CA",India,th,th,47,80,38.2855,-121.9018,0.006939078,2981,3000,430000,429596
"Tucson, AZ",India,th,th,97,94,31.9703,-111.7845,0.002201651,2209,2000,1003000,1003338
"Trenton, NJ",India,rd,th,3,35,40.2805,-74.6826,0.031888893,11834,12000,371000,371101
"Tampa-St. Petersburg-Clearwater, FL",India,th,rd,55,23,28.1327,-82.4803,0.006218162,18205,18000,2928000,2927714
"Tallahassee, FL",India,th,th,54,87,30.3347,-84.2507,0.006451664,2428,2000,376000,376337
"Syracuse, NY",India,th,th,88,98,43.2123,-76.1777,0.003048504,2014,2000,661000,660652
"Stockton-Lodi, CA",India,th,th,8,37,37.8911,-121.2479,0.016308088,11658,12000,715000,714860
"St. Louis, MO-IL",India,th,th,66,27,38.7628,-90.3359,0.004834759,13554,14000,2803000,2803449
"Springfield, MA",India,th,th,87,95,42.2772,-72.6068,0.003501789,2203,2000,629000,629107
"Seattle-Tacoma-Bellevue, WA",India,th,th,11,11,47.5137,-121.885,0.015367622,56416,56000,3671000,3671095
"Scranton--Wilkes-Barre--Hazleton, PA",India,th,th,74,86,41.2768,-75.8782,0.004343648,2432,2000,560000,559898
"San Jose-Sunnyvale-Santa Clara, CA",India,st,rd,1,3,36.8407,-121.3746,0.056841440,110449,110000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",India,th,th,6,4,37.6888,-122.0651,0.023743154,108685,109000,4578000,4577530
"San Diego-Carlsbad, CA",India,th,st,49,21,33.0164,-116.7305,0.006765322,22010,22000,3253000,3253356
"San Antonio-New Braunfels, TX",India,th,rd,79,43,29.376,-98.6267,0.003848058,8975,9000,2332000,2332345
"Salt Lake City, UT",India,th,th,76,58,40.4903,-112.926,0.004103927,4738,5000,1155000,1154504
"Sacramento--Roseville--Arden-Arcade, CA",India,rd,th,23,16,38.6673,-121.1593,0.011571244,25949,26000,2243000,2242542
"Rochester, NY",India,th,th,78,64,43.0717,-77.3205,0.003957584,4283,4000,1082000,1082226
"Riverside-San Bernardino-Ontario, CA",India,th,th,84,26,34.6177,-116.0501,0.003603989,15968,16000,4431000,4430646
"Richmond, VA",India,th,th,37,38,37.48,-77.437,0.008661869,10898,11000,1258000,1258158
"Raleigh, NC",India,th,nd,9,22,35.7604,-78.5878,0.015662689,19480,19000,1244000,1243720
"Providence-Warwick, RI-MA",India,th,th,75,47,41.6397,-71.3161,0.004224042,6798,7000,1609000,1609359
"Portland-Vancouver-Hillsboro, OR-WA",India,th,st,59,31,45.6371,-122.6727,0.005566238,13088,13000,2351000,2351319
"Pittsburgh, PA",India,th,th,65,36,40.4467,-79.9094,0.005015869,11812,12000,2355000,2354926
"Phoenix-Mesa-Scottsdale, AZ",India,th,th,50,14,33.2681,-112.1432,0.006655814,29859,30000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",India,th,th,19,9,39.9494,-75.2383,0.012016593,72673,73000,6048000,6047721
"Peoria, IL",India,th,th,40,77,40.7761,-89.4577,0.008398354,3185,3000,379000,379241
"Oxnard-Thousand Oaks-Ventura, CA",India,th,th,29,45,34.447,-119.0772,0.009933461,8375,8000,843000,843110
"Orlando-Kissimmee-Sanford, FL",India,st,th,61,34,28.4593,-81.4247,0.005341618,12438,12000,2329000,2328508
"Omaha-Council Bluffs, NE-IA",India,nd,th,72,66,41.3245,-96.0317,0.004488116,4061,4000,905000,904834
"Oklahoma City, OK",India,th,th,85,57,35.4226,-97.724,0.003595161,4807,5000,1337000,1337075
"North Port-Sarasota-Bradenton, FL",India,st,nd,91,92,27.2972,-82.3447,0.002966376,2229,2000,751000,751422
"New York-Newark-Jersey City, NY-NJ-PA",India,th,st,7,1,40.778,-73.7087,0.017229413,345130,345000,20031000,20031443
"New Orleans-Metairie, LA",India,th,st,96,81,29.7839,-89.6135,0.002320342,2901,3000,1250000,1250247
"New Haven-Milford, CT",India,nd,th,42,48,41.3658,-72.8776,0.007888495,6791,7000,861000,860874
"Nashville-Davidson--Murfreesboro--Franklin, TN",India,th,nd,64,42,36.0303,-86.7925,0.005037418,9040,9000,1795000,1794570
"Modesto, CA",India,th,nd,39,62,37.6057,-120.8871,0.008428814,4472,4000,531000,530561
"Minneapolis-St. Paul-Bloomington, MN-WI",India,th,th,44,15,45.2214,-93.5043,0.007514542,26214,26000,3488000,3488436
"Milwaukee-Waukesha-West Allis, WI",India,rd,th,53,40,43.1933,-87.8277,0.006504298,10223,10000,1572000,1571730
"Miami-Fort Lauderdale-West Palm Beach, FL",India,st,th,81,18,26.0551,-80.4596,0.003801952,22534,23000,5927000,5926955
"Merced, CA",India,st,th,21,78,37.187,-120.6093,0.011882974,3149,3000,265000,265001
"Memphis, TN-MS-AR",India,th,th,86,56,35.0381,-89.7993,0.003594915,4822,5000,1341000,1341339
"Manchester-Nashua, NH",India,th,th,28,65,42.952,-71.7201,0.010144512,4108,4000,405000,404948
"Madison, WI",India,th,th,57,70,43.0719,-89.7202,0.005945427,3771,4000,634000,634269
"Louisville/Jefferson County, KY-IN",India,nd,th,82,59,38.3188,-85.6272,0.003728093,4733,5000,1270000,1269550
"Los Angeles-Long Beach-Anaheim, CA",India,nd,th,52,7,34.0786,-118.3232,0.006516083,85943,86000,13189000,13189366
"Little Rock-North Little Rock-Conway, AR",India,rd,rd,83,83,34.7137,-92.3347,0.003722997,2708,3000,727000,727371
"Las Vegas-Henderson-Paradise, NV",India,th,th,94,54,35.9271,-115.2532,0.002556816,5293,5000,2070000,2070153
"Lansing-East Lansing, MI",India,th,st,45,71,42.7676,-84.6157,0.007394525,3478,3000,470000,470348
"Lafayette-West Lafayette, IN",India,th,th,30,96,40.476,-86.8142,0.009909812,2102,2000,212000,212113
"Knoxville, TN",India,nd,th,92,89,36.0263,-84.2164,0.002742935,2351,2000,857000,857111
"Kansas City, MO-KS",India,th,st,69,41,38.9071,-94.585,0.004618030,9560,10000,2070000,2070147
"Jacksonville, FL",India,th,nd,80,52,30.2238,-81.8852,0.003824178,5446,5000,1424000,1424097
"Indianapolis-Carmel-Anderson, IN",India,th,th,48,28,39.7141,-86.3223,0.006814922,13417,13000,1969000,1968768
"Houston-The Woodlands-Sugar Land, TX",India,th,th,18,8,29.6976,-95.3147,0.012213016,79172,79000,6483000,6482592
"Hartford-West Hartford-East Hartford, CT",India,th,th,16,25,41.6081,-72.6305,0.013504414,16365,16000,1212000,1211826
"Harrisburg-Carlisle, PA",India,st,st,41,61,40.3018,-77.1353,0.008032815,4510,5000,561000,561447
"Greenville-Anderson-Mauldin, SC",India,th,th,90,84,34.7094,-82.4635,0.002998617,2585,3000,862000,862064
"Greensboro-High Point, NC",India,th,rd,70,73,36.0241,-79.7912,0.004609400,3440,3000,746000,746301
"Grand Rapids-Wyoming, MI",India,th,st,98,91,42.9444,-86.1979,0.002170841,2232,2000,1028000,1028173
"Gainesville, FL",India,th,th,34,85,29.681,-82.5053,0.009005387,2464,2000,274000,273614
"Fresno, CA",India,th,th,14,29,36.7463,-119.6363,0.013819095,13310,13000,963000,963160
"Fayetteville-Springdale-Rogers, AR-MO",India,rd,th,33,60,36.2585,-94.0987,0.009095747,4581,5000,504000,503642
"Durham-Chapel Hill, NC",India,th,th,56,75,36.0288,-79.0057,0.005956869,3231,3000,542000,542399
