MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Indonesia,th,th,6,6,38.8552,-77.5269,0.000563230,3386,3000,6012000,6011752
"Seattle-Tacoma-Bellevue, WA",Indonesia,th,th,5,5,47.5137,-121.885,0.000985809,3619,4000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",Indonesia,th,th,4,8,36.8407,-121.3746,0.001358134,2639,3000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Indonesia,nd,rd,2,3,37.6888,-122.0651,0.001409712,6453,6000,4578000,4577530
"Riverside-San Bernardino-Ontario, CA",Indonesia,st,nd,1,2,34.6177,-116.0501,0.001504521,6666,7000,4431000,4430646
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Indonesia,th,th,10,10,39.9494,-75.2383,0.000382293,2312,2000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Indonesia,th,th,11,4,40.778,-73.7087,0.000313307,6276,6000,20031000,20031443
"Los Angeles-Long Beach-Anaheim, CA",Indonesia,rd,st,3,1,34.0786,-118.3232,0.001388240,18310,18000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Indonesia,th,th,8,7,29.6976,-95.3147,0.000488231,3165,3000,6483000,6482592
"Boston-Cambridge-Newton, MA-NH",Indonesia,th,th,7,9,42.5684,-71.1109,0.000512599,2424,2000,4729000,4728844
"Atlanta-Sandy Springs-Roswell, GA",Indonesia,th,th,9,11,33.7311,-84.4002,0.000397664,2232,2000,5613000,5612777
