MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Iran,th,nd,5,2,38.8552,-77.5269,0.003695595,22217,22000,6012000,6011752
"Seattle-Tacoma-Bellevue, WA",Iran,th,th,10,10,47.5137,-121.885,0.001665716,6115,6000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",Iran,rd,th,3,5,36.8407,-121.3746,0.007502932,14579,15000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Iran,th,th,4,4,37.6888,-122.0651,0.003783918,17321,17000,4578000,4577530
"San Diego-Carlsbad, CA",Iran,th,th,6,6,33.0164,-116.7305,0.003389730,11028,11000,3253000,3253356
"Sacramento--Roseville--Arden-Arcade, CA",Iran,th,th,8,11,38.6673,-121.1593,0.002602404,5836,6000,2243000,2242542
"Riverside-San Bernardino-Ontario, CA",Iran,th,th,17,14,34.6177,-116.0501,0.001106385,4902,5000,4431000,4430646
"Portland-Vancouver-Hillsboro, OR-WA",Iran,th,th,12,19,45.6371,-122.6727,0.001536584,3613,4000,2351000,2351319
"Phoenix-Mesa-Scottsdale, AZ",Iran,th,th,16,13,33.2681,-112.1432,0.001194342,5358,5000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Iran,th,nd,24,22,39.9494,-75.2383,0.000483819,2926,3000,6048000,6047721
"Oxnard-Thousand Oaks-Ventura, CA",Iran,th,rd,7,23,34.447,-119.0772,0.002620061,2209,2000,843000,843110
"New York-Newark-Jersey City, NY-NJ-PA",Iran,th,rd,18,3,40.778,-73.7087,0.001063179,21297,21000,20031000,20031443
"Modesto, CA",Iran,nd,th,2,15,37.6057,-120.8871,0.008786926,4662,5000,531000,530561
"Miami-Fort Lauderdale-West Palm Beach, FL",Iran,rd,th,23,17,26.0551,-80.4596,0.000637596,3779,4000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Iran,st,st,1,1,34.0786,-118.3232,0.010458501,137941,138000,13189000,13189366
"Las Vegas-Henderson-Paradise, NV",Iran,th,th,9,18,35.9271,-115.2532,0.001801799,3730,4000,2070000,2070153
"Houston-The Woodlands-Sugar Land, TX",Iran,th,th,13,7,29.6976,-95.3147,0.001506805,9768,10000,6483000,6482592
"Denver-Aurora-Lakewood, CO",Iran,st,th,21,24,39.3686,-104.8662,0.000761976,2097,2000,2752000,2752056
"Dallas-Fort Worth-Arlington, TX",Iran,th,th,14,8,32.744,-97.0689,0.001319942,9183,9000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Iran,nd,th,22,9,41.703,-87.9363,0.000707149,6738,7000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Iran,th,th,19,16,42.5684,-71.1109,0.000978675,4628,5000,4729000,4728844
"Baltimore-Columbia-Towson, MD",Iran,th,th,15,20,39.216,-76.6747,0.001211490,3369,3000,2781000,2780873
"Austin-Round Rock, TX",Iran,th,st,11,21,30.2683,-97.6515,0.001571593,3053,3000,1943000,1942615
"Atlanta-Sandy Springs-Roswell, GA",Iran,th,th,20,12,33.7311,-84.4002,0.000959774,5387,5000,5613000,5612777
