MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Iraq,th,th,7,6,38.8552,-77.5269,0.001121470,6742,7000,6012000,6011752
"Seattle-Tacoma-Bellevue, WA",Iraq,th,th,8,10,47.5137,-121.885,0.000825094,3029,3000,3671000,3671095
"San Diego-Carlsbad, CA",Iraq,nd,nd,2,2,33.0164,-116.7305,0.007324744,23830,24000,3253000,3253356
"Phoenix-Mesa-Scottsdale, AZ",Iraq,th,th,5,5,33.2681,-112.1432,0.002010408,9019,9000,4486000,4486153
"New York-Newark-Jersey City, NY-NJ-PA",Iraq,th,th,12,11,40.778,-73.7087,0.000145971,2924,3000,20031000,20031443
"Nashville-Davidson--Murfreesboro--Franklin, TN",Iraq,th,th,4,9,36.0303,-86.7925,0.002485832,4461,4000,1795000,1794570
"Modesto, CA",Iraq,rd,th,3,12,37.6057,-120.8871,0.005362249,2845,3000,531000,530561
"Los Angeles-Long Beach-Anaheim, CA",Iraq,th,th,10,4,34.0786,-118.3232,0.000711331,9382,9000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Iraq,th,th,9,7,29.6976,-95.3147,0.000778084,5044,5000,6483000,6482592
"Detroit-Warren-Dearborn, MI",Iraq,st,st,1,1,42.6774,-83.3276,0.011442653,49166,49000,4297000,4296731
"Dallas-Fort Worth-Arlington, TX",Iraq,th,th,11,8,32.744,-97.0689,0.000696265,4844,5000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Iraq,th,rd,6,3,41.703,-87.9363,0.001333383,12705,13000,9528000,9528396
