MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Italy,th,th,20,11,38.8552,-77.5269,0.000883603,5312,5000,6012000,6011752
"Tampa-St. Petersburg-Clearwater, FL",Italy,th,th,17,16,28.1327,-82.4803,0.001266176,3707,4000,2928000,2927714
"San Francisco-Oakland-Hayward, CA",Italy,th,th,16,8,37.6888,-122.0651,0.001386556,6347,6000,4578000,4577530
"San Diego-Carlsbad, CA",Italy,th,th,18,15,33.0164,-116.7305,0.001161570,3779,4000,3253000,3253356
"Rochester, NY",Italy,th,th,5,17,43.0717,-77.3205,0.003322781,3596,4000,1082000,1082226
"Providence-Warwick, RI-MA",Italy,th,th,15,18,41.6397,-71.3161,0.001860368,2994,3000,1609000,1609359
"Pittsburgh, PA",Italy,th,th,12,13,40.4467,-79.9094,0.002001761,4714,5000,2355000,2354926
"Phoenix-Mesa-Scottsdale, AZ",Italy,rd,st,23,21,33.2681,-112.1432,0.000601406,2698,3000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Italy,th,th,10,5,39.9494,-75.2383,0.002089217,12635,13000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Italy,nd,st,2,1,40.778,-73.7087,0.005933372,118854,119000,20031000,20031443
"New Haven-Milford, CT",Italy,rd,th,3,12,41.3658,-72.8776,0.005881232,5063,5000,861000,860874
"Miami-Fort Lauderdale-West Palm Beach, FL",Italy,th,th,9,4,26.0551,-80.4596,0.002454380,14547,15000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Italy,st,th,21,6,34.0786,-118.3232,0.000853946,11263,11000,13189000,13189366
"Las Vegas-Henderson-Paradise, NV",Italy,th,rd,19,23,35.9271,-115.2532,0.001065139,2205,2000,2070000,2070153
"Houston-The Woodlands-Sugar Land, TX",Italy,th,th,24,20,29.6976,-95.3147,0.000422979,2742,3000,6483000,6482592
"Hartford-West Hartford-East Hartford, CT",Italy,th,th,4,9,41.6081,-72.6305,0.005067559,6141,6000,1212000,1211826
"Detroit-Warren-Dearborn, MI",Italy,th,th,13,7,42.6774,-83.3276,0.001941941,8344,8000,4297000,4296731
"Cleveland-Elyria, OH",Italy,th,th,14,14,41.6183,-81.6755,0.001876670,3869,4000,2062000,2061630
"Chicago-Naperville-Elgin, IL-IN-WI",Italy,th,nd,11,2,41.703,-87.9363,0.002058164,19611,20000,9528000,9528396
"Buffalo-Cheektowaga-Niagara Falls, NY",Italy,th,th,8,19,43.0374,-78.7361,0.002477316,2813,3000,1136000,1135503
"Bridgeport-Stamford-Norwalk, CT",Italy,st,th,1,10,41.3084,-73.3137,0.006158548,5799,6000,942000,941618
"Boston-Cambridge-Newton, MA-NH",Italy,th,rd,6,3,42.5684,-71.1109,0.003317090,15686,16000,4729000,4728844
"Baltimore-Columbia-Towson, MD",Italy,nd,th,22,24,39.216,-76.6747,0.000789680,2196,2000,2781000,2780873
"Albany-Schenectady-Troy, NY",Italy,th,nd,7,22,42.8758,-73.7017,0.002985360,2625,3000,879000,879291
