MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Jamaica,th,th,17,5,38.8552,-77.5269,0.003570174,21463,21000,6012000,6011752
"Virginia Beach-Norfolk-Newport News, VA-NC",Jamaica,rd,st,23,21,36.8161,-76.3797,0.002012916,3451,3000,1714000,1714428
"Trenton, NJ",Jamaica,th,st,12,31,40.2805,-74.6826,0.005569912,2067,2000,371000,371101
"Tampa-St. Petersburg-Clearwater, FL",Jamaica,th,th,16,10,28.1327,-82.4803,0.003613741,10580,11000,2928000,2927714
"Springfield, MA",Jamaica,th,th,15,25,42.2772,-72.6068,0.003713200,2336,2000,629000,629107
"Rochester, NY",Jamaica,th,th,18,20,43.0717,-77.3205,0.003386538,3665,4000,1082000,1082226
"Riverside-San Bernardino-Ontario, CA",Jamaica,th,th,29,29,34.6177,-116.0501,0.000493607,2187,2000,4431000,4430646
"Port St. Lucie, FL",Jamaica,rd,th,3,13,27.2586,-80.4072,0.014845723,6632,7000,447000,446728
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Jamaica,th,th,19,6,39.9494,-75.2383,0.003071074,18573,19000,6048000,6047721
"Palm Bay-Melbourne-Titusville, FL",Jamaica,th,th,7,19,28.3067,-80.7005,0.006763180,3792,4000,561000,560683
"Orlando-Kissimmee-Sanford, FL",Jamaica,th,th,6,4,28.4593,-81.4247,0.009877570,23000,23000,2329000,2328508
"Ocala, FL",Jamaica,th,th,8,28,29.2408,-82.0227,0.006511117,2216,2000,340000,340341
"New York-Newark-Jersey City, NY-NJ-PA",Jamaica,th,st,4,1,40.778,-73.7087,0.012958777,259583,260000,20031000,20031443
"New Haven-Milford, CT",Jamaica,th,th,9,16,41.3658,-72.8776,0.006014817,5178,5000,861000,860874
"Miami-Fort Lauderdale-West Palm Beach, FL",Jamaica,st,nd,1,2,26.0551,-80.4596,0.023291724,138049,138000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Jamaica,st,th,31,15,34.0786,-118.3232,0.000470985,6212,6000,13189000,13189366
"Lakeland-Winter Haven, FL",Jamaica,th,th,13,24,28.0026,-81.7382,0.004420636,2819,3000,638000,637691
"Jacksonville, FL",Jamaica,st,th,21,18,30.2238,-81.8852,0.002669060,3801,4000,1424000,1424097
"Houston-The Woodlands-Sugar Land, TX",Jamaica,th,th,25,12,29.6976,-95.3147,0.001120077,7261,7000,6483000,6482592
"Hartford-West Hartford-East Hartford, CT",Jamaica,nd,th,2,7,41.6081,-72.6305,0.015055792,18245,18000,1212000,1211826
"Detroit-Warren-Dearborn, MI",Jamaica,th,th,28,30,42.6774,-83.3276,0.000498519,2142,2000,4297000,4296731
"Deltona-Daytona Beach-Ormond Beach, FL",Jamaica,th,th,14,26,29.1419,-81.2095,0.003734584,2292,2000,614000,613723
"Dallas-Fort Worth-Arlington, TX",Jamaica,th,rd,30,23,32.744,-97.0689,0.000474621,3302,3000,6957000,6957123
"Cleveland-Elyria, OH",Jamaica,th,th,26,27,41.6183,-81.6755,0.001096220,2260,2000,2062000,2061630
"Chicago-Naperville-Elgin, IL-IN-WI",Jamaica,th,th,27,14,41.703,-87.9363,0.000688993,6565,7000,9528000,9528396
"Charlotte-Concord-Gastonia, NC-SC",Jamaica,th,nd,24,22,35.2588,-80.889,0.001435020,3417,3000,2381000,2381152
"Cape Coral-Fort Myers, FL",Jamaica,th,th,11,17,26.5532,-81.9137,0.005624330,3830,4000,681000,680970
"Bridgeport-Stamford-Norwalk, CT",Jamaica,th,th,5,9,41.3084,-73.3137,0.011629982,10951,11000,942000,941618
"Boston-Cambridge-Newton, MA-NH",Jamaica,nd,th,22,8,42.5684,-71.1109,0.002650331,12533,13000,4729000,4728844
"Baltimore-Columbia-Towson, MD",Jamaica,th,th,20,11,39.216,-76.6747,0.002934690,8161,8000,2781000,2780873
"Atlanta-Sandy Springs-Roswell, GA",Jamaica,th,rd,10,3,33.7311,-84.4002,0.005822608,32681,33000,5613000,5612777
