MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Japan,th,th,12,9,38.8552,-77.5269,0.001334386,8022,8000,6012000,6011752
"Urban Honolulu, HI",Japan,st,rd,1,3,21.4812,-157.9695,0.020758886,20489,20000,987000,986999
"Seattle-Tacoma-Bellevue, WA",Japan,th,th,5,5,47.5137,-121.885,0.003489694,12811,13000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",Japan,nd,th,2,6,36.8407,-121.3746,0.005938942,11540,12000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Japan,rd,th,3,4,37.6888,-122.0651,0.003859723,17668,18000,4578000,4577530
"San Diego-Carlsbad, CA",Japan,th,th,6,7,33.0164,-116.7305,0.003427230,11150,11000,3253000,3253356
"Sacramento--Roseville--Arden-Arcade, CA",Japan,th,th,10,18,38.6673,-121.1593,0.001668196,3741,4000,2243000,2242542
"Riverside-San Bernardino-Ontario, CA",Japan,th,th,15,14,34.6177,-116.0501,0.001082912,4798,5000,4431000,4430646
"Portland-Vancouver-Hillsboro, OR-WA",Japan,th,th,7,13,45.6371,-122.6727,0.002069051,4865,5000,2351000,2351319
"Phoenix-Mesa-Scottsdale, AZ",Japan,th,th,20,19,33.2681,-112.1432,0.000714421,3205,3000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Japan,rd,th,23,20,39.9494,-75.2383,0.000470756,2847,3000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Japan,th,nd,9,2,40.778,-73.7087,0.001835864,36775,37000,20031000,20031443
"Miami-Fort Lauderdale-West Palm Beach, FL",Japan,th,nd,24,22,26.0551,-80.4596,0.000417078,2472,2000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Japan,th,st,4,1,34.0786,-118.3232,0.003667500,48372,48000,13189000,13189366
"Las Vegas-Henderson-Paradise, NV",Japan,th,th,8,16,35.9271,-115.2532,0.001936572,4009,4000,2070000,2070153
"Houston-The Woodlands-Sugar Land, TX",Japan,st,th,21,15,29.6976,-95.3147,0.000670565,4347,4000,6483000,6482592
"Detroit-Warren-Dearborn, MI",Japan,th,th,14,11,42.6774,-83.3276,0.001324728,5692,6000,4297000,4296731
"Denver-Aurora-Lakewood, CO",Japan,th,th,19,24,39.3686,-104.8662,0.000788138,2169,2000,2752000,2752056
"Dallas-Fort Worth-Arlington, TX",Japan,nd,th,22,17,32.744,-97.0689,0.000556983,3875,4000,6957000,6957123
"Columbus, OH",Japan,th,st,13,21,40.0371,-82.8533,0.001324809,2643,3000,1995000,1995004
"Cincinnati, OH-KY-IN",Japan,th,rd,16,23,39.1013,-84.4863,0.001073420,2304,2000,2146000,2146410
"Chicago-Naperville-Elgin, IL-IN-WI",Japan,th,th,18,8,41.703,-87.9363,0.000997859,9508,10000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Japan,th,th,11,10,42.5684,-71.1109,0.001347052,6370,6000,4729000,4728844
"Atlanta-Sandy Springs-Roswell, GA",Japan,th,th,17,12,33.7311,-84.4002,0.001002712,5628,6000,5613000,5612777
