MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Kenya,th,th,9,7,38.8552,-77.5269,0.000737722,4435,4000,6012000,6011752
"Seattle-Tacoma-Bellevue, WA",Kenya,th,th,5,6,47.5137,-121.885,0.001263111,4637,5000,3671000,3671095
"San Francisco-Oakland-Hayward, CA",Kenya,th,th,11,14,37.6888,-122.0651,0.000498085,2280,2000,4578000,4577530
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Kenya,th,th,10,8,39.9494,-75.2383,0.000550455,3329,3000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Kenya,th,rd,13,3,40.778,-73.7087,0.000371316,7438,7000,20031000,20031443
"Minneapolis-St. Paul-Bloomington, MN-WI",Kenya,st,nd,1,2,45.2214,-93.5043,0.002328551,8123,8000,3488000,3488436
"Los Angeles-Long Beach-Anaheim, CA",Kenya,th,th,14,11,34.0786,-118.3232,0.000226698,2990,3000,13189000,13189366
"Kansas City, MO-KS",Kenya,rd,th,3,10,38.9071,-94.585,0.001454969,3012,3000,2070000,2070147
"Houston-The Woodlands-Sugar Land, TX",Kenya,th,th,12,12,29.6976,-95.3147,0.000436554,2830,3000,6483000,6482592
"Dallas-Fort Worth-Arlington, TX",Kenya,th,st,4,1,32.744,-97.0689,0.001277540,8888,9000,6957000,6957123
"Columbus, OH",Kenya,nd,th,2,9,40.0371,-82.8533,0.001511275,3015,3000,1995000,1995004
"Boston-Cambridge-Newton, MA-NH",Kenya,th,th,6,5,42.5684,-71.1109,0.001187605,5616,6000,4729000,4728844
"Baltimore-Columbia-Towson, MD",Kenya,th,th,8,13,39.216,-76.6747,0.000897200,2495,2000,2781000,2780873
"Atlanta-Sandy Springs-Roswell, GA",Kenya,th,th,7,4,33.7311,-84.4002,0.001112640,6245,6000,5613000,5612777
