MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Korea,th,rd,5,3,38.8552,-77.5269,0.009849375,59212,59000,6012000,6011752
"Virginia Beach-Norfolk-Newport News, VA-NC",Korea,th,th,38,28,36.8161,-76.3797,0.002296393,3937,4000,1714000,1714428
"Urban Honolulu, HI",Korea,nd,th,2,14,21.4812,-157.9695,0.014984818,14790,15000,987000,986999
"Trenton, NJ",Korea,th,th,15,54,40.2805,-74.6826,0.005758540,2137,2000,371000,371101
"Tampa-St. Petersburg-Clearwater, FL",Korea,rd,th,53,27,28.1327,-82.4803,0.001391529,4074,4000,2928000,2927714
"St. Louis, MO-IL",Korea,th,th,50,26,38.7628,-90.3359,0.001497441,4198,4000,2803000,2803449
"Seattle-Tacoma-Bellevue, WA",Korea,th,th,4,5,47.5137,-121.885,0.010256068,37651,38000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",Korea,rd,th,3,10,36.8407,-121.3746,0.010858383,21099,21000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Korea,th,th,13,7,37.6888,-122.0651,0.006406293,29325,29000,4578000,4577530
"San Diego-Carlsbad, CA",Korea,th,th,19,13,33.0164,-116.7305,0.004631218,15067,15000,3253000,3253356
"San Antonio-New Braunfels, TX",Korea,th,th,55,39,29.376,-98.6267,0.001244241,2902,3000,2332000,2332345
"Salt Lake City, UT",Korea,st,th,41,47,40.4903,-112.926,0.002087477,2410,2000,1155000,1154504
"Sacramento--Roseville--Arden-Arcade, CA",Korea,th,rd,25,23,38.6673,-121.1593,0.003541071,7941,8000,2243000,2242542
"Rochester, NY",Korea,th,th,44,59,43.0717,-77.3205,0.001869295,2023,2000,1082000,1082226
"Riverside-San Bernardino-Ontario, CA",Korea,nd,th,22,12,34.6177,-116.0501,0.004056519,17973,18000,4431000,4430646
"Richmond, VA",Korea,th,th,36,37,37.48,-77.437,0.002375695,2989,3000,1258000,1258158
"Raleigh, NC",Korea,rd,rd,33,33,35.7604,-78.5878,0.002779565,3457,3000,1244000,1243720
"Portland-Vancouver-Hillsboro, OR-WA",Korea,th,th,24,20,45.6371,-122.6727,0.003910571,9195,9000,2351000,2351319
"Pittsburgh, PA",Korea,nd,th,52,34,40.4467,-79.9094,0.001395373,3286,3000,2355000,2354926
"Phoenix-Mesa-Scottsdale, AZ",Korea,th,nd,48,22,33.2681,-112.1432,0.001781928,7994,8000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Korea,st,th,21,8,39.9494,-75.2383,0.004091624,24745,25000,6048000,6047721
"Oxnard-Thousand Oaks-Ventura, CA",Korea,th,th,30,44,34.447,-119.0772,0.003095681,2610,3000,843000,843110
"Orlando-Kissimmee-Sanford, FL",Korea,nd,th,42,25,28.4593,-81.4247,0.001959624,4563,5000,2329000,2328508
"Olympia-Tumwater, WA",Korea,th,th,7,50,46.9781,-122.8988,0.008835534,2353,2000,266000,266311
"Oklahoma City, OK",Korea,th,th,45,46,35.4226,-97.724,0.001842081,2463,2000,1337000,1337075
"New York-Newark-Jersey City, NY-NJ-PA",Korea,th,nd,10,2,40.778,-73.7087,0.007384041,147913,148000,20031000,20031443
"Nashville-Davidson--Murfreesboro--Franklin, TN",Korea,th,th,49,36,36.0303,-86.7925,0.001711831,3072,3000,1795000,1794570
"Montgomery, AL",Korea,th,th,16,55,32.3654,-86.407,0.005626225,2104,2000,374000,373963
"Minneapolis-St. Paul-Bloomington, MN-WI",Korea,st,th,31,17,45.2214,-93.5043,0.003078170,10738,11000,3488000,3488436
"Miami-Fort Lauderdale-West Palm Beach, FL",Korea,th,nd,59,32,26.0551,-80.4596,0.000609588,3613,4000,5927000,5926955
"Madison, WI",Korea,th,th,28,58,43.0719,-89.7202,0.003206841,2034,2000,634000,634269
"Los Angeles-Long Beach-Anaheim, CA",Korea,st,st,1,1,34.0786,-118.3232,0.016731130,220673,221000,13189000,13189366
"Las Vegas-Henderson-Paradise, NV",Korea,th,th,18,18,35.9271,-115.2532,0.004674051,9676,10000,2070000,2070153
"Killeen-Temple, TX",Korea,th,th,12,40,31.2315,-97.9026,0.006530406,2788,3000,427000,426926
"Kansas City, MO-KS",Korea,th,th,47,30,38.9071,-94.585,0.001794075,3714,4000,2070000,2070147
"Jacksonville, FL",Korea,st,th,51,56,30.2238,-81.8852,0.001476725,2103,2000,1424000,1424097
"Indianapolis-Carmel-Anderson, IN",Korea,th,st,57,51,39.7141,-86.3223,0.001189576,2342,2000,1969000,1968768
"Houston-The Woodlands-Sugar Land, TX",Korea,th,th,46,16,29.6976,-95.3147,0.001814243,11761,12000,6483000,6482592
"Hartford-West Hartford-East Hartford, CT",Korea,th,rd,39,43,41.6081,-72.6305,0.002227217,2699,3000,1212000,1211826
"Grand Rapids-Wyoming, MI",Korea,th,th,37,48,42.9444,-86.1979,0.002317703,2383,2000,1028000,1028173
"Durham-Chapel Hill, NC",Korea,th,rd,20,53,36.0288,-79.0057,0.004223828,2291,2000,542000,542399
"Detroit-Warren-Dearborn, MI",Korea,th,st,40,21,42.6774,-83.3276,0.002093917,8997,9000,4297000,4296731
