MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Laos,th,th,18,15,38.8552,-77.5269,0.000446126,2682,3000,6012000,6011752
"Tampa-St. Petersburg-Clearwater, FL",Laos,th,th,15,20,28.1327,-82.4803,0.000741876,2172,2000,2928000,2927714
"Stockton-Lodi, CA",Laos,th,th,5,13,37.8911,-121.2479,0.004565929,3264,3000,715000,714860
"Seattle-Tacoma-Bellevue, WA",Laos,th,th,10,5,47.5137,-121.885,0.001470951,5400,5000,3671000,3671095
"San Francisco-Oakland-Hayward, CA",Laos,th,th,11,9,37.6888,-122.0651,0.001098627,5029,5000,4578000,4577530
"San Diego-Carlsbad, CA",Laos,th,th,8,7,33.0164,-116.7305,0.001589128,5170,5000,3253000,3253356
"Sacramento--Roseville--Arden-Arcade, CA",Laos,th,rd,4,3,38.6673,-121.1593,0.005309600,11907,12000,2243000,2242542
"Riverside-San Bernardino-Ontario, CA",Laos,th,th,17,14,34.6177,-116.0501,0.000610069,2703,3000,4431000,4430646
"Portland-Vancouver-Hillsboro, OR-WA",Laos,th,th,9,12,45.6371,-122.6727,0.001552746,3651,4000,2351000,2351319
"Nashville-Davidson--Murfreesboro--Franklin, TN",Laos,th,th,7,11,36.0303,-86.7925,0.002113041,3792,4000,1795000,1794570
"Minneapolis-St. Paul-Bloomington, MN-WI",Laos,rd,st,3,1,45.2214,-93.5043,0.006708450,23402,23000,3488000,3488436
"Milwaukee-Waukesha-West Allis, WI",Laos,th,th,6,8,43.1933,-87.8277,0.003265828,5133,5000,1572000,1571730
"Merced, CA",Laos,nd,th,2,17,37.187,-120.6093,0.009286757,2461,2000,265000,265001
"Los Angeles-Long Beach-Anaheim, CA",Laos,th,th,20,6,34.0786,-118.3232,0.000401308,5293,5000,13189000,13189366
"Fresno, CA",Laos,st,nd,1,2,36.7463,-119.6363,0.012373853,11918,12000,963000,963160
"Denver-Aurora-Lakewood, CO",Laos,th,th,14,19,39.3686,-104.8662,0.000792862,2182,2000,2752000,2752056
"Dallas-Fort Worth-Arlington, TX",Laos,th,th,13,4,32.744,-97.0689,0.000796019,5538,6000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Laos,st,th,21,16,41.703,-87.9363,0.000273708,2608,3000,9528000,9528396
"Charlotte-Concord-Gastonia, NC-SC",Laos,th,th,12,18,35.2588,-80.889,0.000971379,2313,2000,2381000,2381152
"Boston-Cambridge-Newton, MA-NH",Laos,th,st,19,21,42.5684,-71.1109,0.000431184,2039,2000,4729000,4728844
"Atlanta-Sandy Springs-Roswell, GA",Laos,th,th,16,10,33.7311,-84.4002,0.000687717,3860,4000,5613000,5612777
