MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Yuma, AZ",Mexico,th,rd,,43,32.7522,-113.9364,,46626,47000,,
"Yuba City, CA",Mexico,nd,th,32,89,39.1868,-121.6103,0.086767512,14690,15000,169000,169303
"York-Hanover, PA",Mexico,th,th,207,198,39.9731,-76.7431,0.006109795,2692,3000,441000,440604
"Yakima, WA",Mexico,th,th,10,45,46.5645,-120.6486,0.165450721,40979,41000,248000,247681
"Worcester, MA-CT",Mexico,th,th,224,189,42.178,-71.8736,0.003154727,2936,3000,931000,930667
"Winston-Salem, NC",Mexico,th,th,88,70,36.0275,-80.3688,0.030003559,19640,20000,655000,654589
"Winchester, VA-WV",Mexico,rd,rd,133,203,39.2738,-78.4913,0.019538028,2601,3000,133000,133125
"Wilmington, NC",Mexico,st,th,151,159,34.2598,-77.8228,0.015667845,4274,4000,273000,272788
"Wichita, KS",Mexico,th,th,85,66,37.5841,-97.4951,0.031751509,20337,20000,641000,640505
"Wichita Falls, TX",Mexico,th,th,89,155,33.804,-98.4655,0.029887945,4521,5000,151000,151265
"Wenatchee, WA",Mexico,th,st,27,101,47.8855,-120.1936,0.100668628,11563,12000,115000,114862
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Mexico,th,nd,196,42,38.8552,-77.5269,0.007971886,47925,48000,6012000,6011752
"Warner Robins, GA",Mexico,th,th,166,215,32.3977,-83.6652,0.012687729,2379,2000,188000,187504
"Walla Walla, WA",Mexico,th,th,47,165,46.311,-118.1923,0.063468172,4048,4000,64000,63780
"Waco, TX",Mexico,th,th,50,87,31.4247,-97.1128,0.058421156,15228,15000,261000,260659
"Visalia-Porterville, CA",Mexico,th,th,7,25,36.2671,-118.8232,0.186383892,84948,85000,456000,455769
"Virginia Beach-Norfolk-Newport News, VA-NC",Mexico,th,th,219,126,36.8161,-76.3797,0.004244564,7277,7000,1714000,1714428
