MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Nepal,st,nd,1,2,38.8552,-77.5269,0.001441011,8663,9000,6012000,6011752
"San Francisco-Oakland-Hayward, CA",Nepal,th,th,5,5,37.6888,-122.0651,0.000887597,4063,4000,4578000,4577530
"New York-Newark-Jersey City, NY-NJ-PA",Nepal,th,st,7,1,40.778,-73.7087,0.000471658,9448,9000,20031000,20031443
"Los Angeles-Long Beach-Anaheim, CA",Nepal,th,th,10,8,34.0786,-118.3232,0.000228669,3016,3000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Nepal,th,th,8,7,29.6976,-95.3147,0.000468485,3037,3000,6483000,6482592
"Denver-Aurora-Lakewood, CO",Nepal,th,th,6,10,39.3686,-104.8662,0.000876799,2413,2000,2752000,2752056
"Dallas-Fort Worth-Arlington, TX",Nepal,rd,rd,3,3,32.744,-97.0689,0.001171749,8152,8000,6957000,6957123
"Boston-Cambridge-Newton, MA-NH",Nepal,th,th,4,4,42.5684,-71.1109,0.000926231,4380,4000,4729000,4728844
"Baltimore-Columbia-Towson, MD",Nepal,nd,th,2,6,39.216,-76.6747,0.001287366,3580,4000,2781000,2780873
"Atlanta-Sandy Springs-Roswell, GA",Nepal,th,th,9,9,33.7311,-84.4002,0.000430981,2419,2000,5613000,5612777
