MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Nicaragua,th,th,6,6,38.8552,-77.5269,0.001506216,9055,9000,6012000,6011752
"San Jose-Sunnyvale-Santa Clara, CA",Nicaragua,th,th,9,13,36.8407,-121.3746,0.001247487,2424,2000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Nicaragua,nd,rd,2,3,37.6888,-122.0651,0.003958248,18119,18000,4578000,4577530
"Riverside-San Bernardino-Ontario, CA",Nicaragua,th,th,5,7,34.6177,-116.0501,0.001722548,7632,8000,4431000,4430646
"Orlando-Kissimmee-Sanford, FL",Nicaragua,th,th,10,11,28.4593,-81.4247,0.001172425,2730,3000,2329000,2328508
"New York-Newark-Jersey City, NY-NJ-PA",Nicaragua,th,th,11,4,40.778,-73.7087,0.000689117,13804,14000,20031000,20031443
"New Orleans-Metairie, LA",Nicaragua,rd,th,3,8,29.7839,-89.6135,0.002837039,3547,4000,1250000,1250247
"Miami-Fort Lauderdale-West Palm Beach, FL",Nicaragua,st,st,1,1,26.0551,-80.4596,0.015467808,91677,92000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Nicaragua,th,nd,4,2,34.0786,-118.3232,0.002091003,27579,28000,13189000,13189366
"Las Vegas-Henderson-Paradise, NV",Nicaragua,th,th,8,10,35.9271,-115.2532,0.001326955,2747,3000,2070000,2070153
"Houston-The Woodlands-Sugar Land, TX",Nicaragua,th,th,7,5,29.6976,-95.3147,0.001415483,9176,9000,6483000,6482592
"Dallas-Fort Worth-Arlington, TX",Nicaragua,th,th,13,12,32.744,-97.0689,0.000381767,2656,3000,6957000,6957123
"Atlanta-Sandy Springs-Roswell, GA",Nicaragua,th,th,12,9,33.7311,-84.4002,0.000548570,3079,3000,5613000,5612777
