MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Nigeria,rd,rd,3,3,38.8552,-77.5269,0.003869754,23264,23000,6012000,6011752
"San Francisco-Oakland-Hayward, CA",Nigeria,th,th,14,13,37.6888,-122.0651,0.000836696,3830,4000,4578000,4577530
"Riverside-San Bernardino-Ontario, CA",Nigeria,th,th,13,12,34.6177,-116.0501,0.000891518,3950,4000,4431000,4430646
"Providence-Warwick, RI-MA",Nigeria,th,th,10,17,41.6397,-71.3161,0.001291197,2078,2000,1609000,1609359
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Nigeria,th,th,12,9,39.9494,-75.2383,0.001094627,6620,7000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Nigeria,th,st,6,1,40.778,-73.7087,0.002018576,40435,40000,20031000,20031443
"Minneapolis-St. Paul-Bloomington, MN-WI",Nigeria,th,th,9,11,45.2214,-93.5043,0.001441047,5027,5000,3488000,3488436
"Miami-Fort Lauderdale-West Palm Beach, FL",Nigeria,th,th,18,14,26.0551,-80.4596,0.000618024,3663,4000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Nigeria,th,th,15,8,34.0786,-118.3232,0.000803602,10599,11000,13189000,13189366
"Indianapolis-Carmel-Anderson, IN",Nigeria,th,th,7,15,39.7141,-86.3223,0.001761000,3467,3000,1969000,1968768
"Houston-The Woodlands-Sugar Land, TX",Nigeria,st,nd,1,2,29.6976,-95.3147,0.005059242,32797,33000,6483000,6482592
"Detroit-Warren-Dearborn, MI",Nigeria,th,th,16,16,42.6774,-83.3276,0.000744287,3198,3000,4297000,4296731
"Denver-Aurora-Lakewood, CO",Nigeria,th,th,17,18,39.3686,-104.8662,0.000734360,2021,2000,2752000,2752056
"Dallas-Fort Worth-Arlington, TX",Nigeria,th,th,5,4,32.744,-97.0689,0.002873745,19993,20000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Nigeria,th,th,8,6,41.703,-87.9363,0.001533836,14615,15000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Nigeria,th,th,11,10,42.5684,-71.1109,0.001189086,5623,6000,4729000,4728844
"Baltimore-Columbia-Towson, MD",Nigeria,nd,th,2,7,39.216,-76.6747,0.004194726,11665,12000,2781000,2780873
"Atlanta-Sandy Springs-Roswell, GA",Nigeria,th,th,4,5,33.7311,-84.4002,0.003137484,17610,18000,5613000,5612777
