MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Pakistan,nd,nd,2,2,38.8552,-77.5269,0.004770157,28677,29000,6012000,6011752
"Tampa-St. Petersburg-Clearwater, FL",Pakistan,th,th,24,24,28.1327,-82.4803,0.000731287,2141,2000,2928000,2927714
"Stockton-Lodi, CA",Pakistan,st,th,1,16,37.8911,-121.2479,0.005651456,4040,4000,715000,714860
"St. Louis, MO-IL",Pakistan,rd,rd,23,23,38.7628,-90.3359,0.000774760,2172,2000,2803000,2803449
"Seattle-Tacoma-Bellevue, WA",Pakistan,st,th,21,20,47.5137,-121.885,0.000934871,3432,3000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",Pakistan,th,th,10,15,36.8407,-121.3746,0.002107450,4095,4000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Pakistan,th,th,11,8,37.6888,-122.0651,0.001874373,8580,9000,4578000,4577530
"Sacramento--Roseville--Arden-Arcade, CA",Pakistan,th,th,7,13,38.6673,-121.1593,0.002517679,5646,6000,2243000,2242542
"Riverside-San Bernardino-Ontario, CA",Pakistan,th,th,19,14,34.6177,-116.0501,0.001009559,4473,4000,4431000,4430646
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pakistan,th,th,17,10,39.9494,-75.2383,0.001366134,8262,8000,6048000,6047721
"Orlando-Kissimmee-Sanford, FL",Pakistan,th,th,15,18,28.4593,-81.4247,0.001540471,3587,4000,2329000,2328508
"New York-Newark-Jersey City, NY-NJ-PA",Pakistan,th,st,4,1,40.778,-73.7087,0.003899819,78119,78000,20031000,20031443
"Miami-Fort Lauderdale-West Palm Beach, FL",Pakistan,th,th,18,12,26.0551,-80.4596,0.001027003,6087,6000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Pakistan,th,th,20,6,34.0786,-118.3232,0.000992542,13091,13000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Pakistan,rd,rd,3,3,29.6976,-95.3147,0.004415209,28622,29000,6483000,6482592
"Hartford-West Hartford-East Hartford, CT",Pakistan,th,st,12,21,41.6081,-72.6305,0.001869905,2266,2000,1212000,1211826
"Detroit-Warren-Dearborn, MI",Pakistan,th,th,16,11,42.6774,-83.3276,0.001449009,6226,6000,4297000,4296731
"Dallas-Fort Worth-Arlington, TX",Pakistan,th,th,9,5,32.744,-97.0689,0.002253661,15679,16000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Pakistan,th,th,6,4,41.703,-87.9363,0.002677051,25508,26000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Pakistan,nd,th,22,17,42.5684,-71.1109,0.000780106,3689,4000,4729000,4728844
"Baltimore-Columbia-Towson, MD",Pakistan,th,th,5,9,39.216,-76.6747,0.003023871,8409,8000,2781000,2780873
"Austin-Round Rock, TX",Pakistan,th,th,13,19,30.2683,-97.6515,0.001789341,3476,3000,1943000,1942615
"Atlanta-Sandy Springs-Roswell, GA",Pakistan,th,th,14,7,33.7311,-84.4002,0.001637692,9192,9000,5613000,5612777
"Albany-Schenectady-Troy, NY",Pakistan,th,nd,8,22,42.8758,-73.7017,0.002480408,2181,2000,879000,879291
