MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Philippines,th,th,27,10,38.8552,-77.5269,0.008067033,48497,48000,6012000,6011752
"Visalia-Porterville, CA",Philippines,th,th,24,44,36.2671,-118.8232,0.008932156,4071,4000,456000,455769
"Virginia Beach-Norfolk-Newport News, VA-NC",Philippines,th,th,20,18,36.8161,-76.3797,0.012201154,20918,21000,1714000,1714428
"Vallejo-Fairfield, CA",Philippines,rd,th,3,14,38.2855,-121.9018,0.066076034,28386,28000,430000,429596
"Urban Honolulu, HI",Philippines,nd,th,2,6,21.4812,-157.9695,0.082127743,81060,81000,987000,986999
"Tucson, AZ",Philippines,th,th,49,56,31.9703,-111.7845,0.002802645,2812,3000,1003000,1003338
"Tampa-St. Petersburg-Clearwater, FL",Philippines,th,th,40,26,28.1327,-82.4803,0.004113107,12042,12000,2928000,2927714
"Stockton-Lodi, CA",Philippines,th,th,8,17,37.8911,-121.2479,0.030861987,22062,22000,715000,714860
"St. Louis, MO-IL",Philippines,th,th,58,38,38.7628,-90.3359,0.001905867,5343,5000,2803000,2803449
"Seattle-Tacoma-Bellevue, WA",Philippines,th,th,19,11,47.5137,-121.885,0.013019004,47794,48000,3671000,3671095
"Santa Rosa, CA",Philippines,th,th,37,67,38.4629,-122.8943,0.004684838,2332,2000,498000,497776
"Santa Maria-Santa Barbara, CA",Philippines,nd,nd,22,42,34.7203,-120.0629,0.010123010,4448,4000,439000,439395
"San Jose-Sunnyvale-Santa Clara, CA",Philippines,th,th,7,9,36.8407,-121.3746,0.030881470,60006,60000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Philippines,th,nd,4,2,37.6888,-122.0651,0.035551269,162737,163000,4578000,4577530
"San Diego-Carlsbad, CA",Philippines,th,th,6,4,33.0164,-116.7305,0.030910850,100564,101000,3253000,3253356
"San Antonio-New Braunfels, TX",Philippines,st,st,41,31,29.376,-98.6267,0.003989547,9305,9000,2332000,2332345
"Salt Lake City, UT",Philippines,th,th,59,69,40.4903,-112.926,0.001864004,2152,2000,1155000,1154504
"Salinas, CA",Philippines,th,th,13,35,36.3545,-121.5249,0.017284944,7436,7000,430000,430201
"Sacramento--Roseville--Arden-Arcade, CA",Philippines,th,th,16,13,38.6673,-121.1593,0.016427340,36839,37000,2243000,2242542
"Riverside-San Bernardino-Ontario, CA",Philippines,th,th,18,8,34.6177,-116.0501,0.014033394,62177,62000,4431000,4430646
"Richmond, VA",Philippines,th,th,55,55,37.48,-77.437,0.002239782,2818,3000,1258000,1258158
"Reno, NV",Philippines,th,th,14,34,40.582,-119.6546,0.017129468,7603,8000,444000,443855
"Raleigh, NC",Philippines,th,rd,57,63,35.7604,-78.5878,0.002010099,2500,3000,1244000,1243720
"Providence-Warwick, RI-MA",Philippines,rd,th,63,57,41.6397,-71.3161,0.001723046,2773,3000,1609000,1609359
"Portland-Vancouver-Hillsboro, OR-WA",Philippines,th,th,38,28,45.6371,-122.6727,0.004559568,10721,11000,2351000,2351319
"Pittsburgh, PA",Philippines,th,th,74,74,40.4467,-79.9094,0.000864146,2035,2000,2355000,2354926
"Phoenix-Mesa-Scottsdale, AZ",Philippines,th,th,35,16,33.2681,-112.1432,0.004961935,22260,22000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philippines,th,th,48,19,39.9494,-75.2383,0.003154577,19078,19000,6048000,6047721
"Pensacola-Ferry Pass-Brent, FL",Philippines,th,th,28,45,30.6146,-87.0952,0.007835650,3710,4000,473000,473477
"Palm Bay-Melbourne-Titusville, FL",Philippines,th,rd,46,73,28.3067,-80.7005,0.003645554,2044,2000,561000,560683
"Oxnard-Thousand Oaks-Ventura, CA",Philippines,th,rd,15,23,34.447,-119.0772,0.017052342,14377,14000,843000,843110
"Orlando-Kissimmee-Sanford, FL",Philippines,rd,th,33,25,28.4593,-81.4247,0.005430945,12646,13000,2329000,2328508
"Oklahoma City, OK",Philippines,th,nd,66,72,35.4226,-97.724,0.001530954,2047,2000,1337000,1337075
"North Port-Sarasota-Bradenton, FL",Philippines,th,st,50,71,27.2972,-82.3447,0.002736146,2056,2000,751000,751422
"New York-Newark-Jersey City, NY-NJ-PA",Philippines,th,rd,29,3,40.778,-73.7087,0.007721561,154674,155000,20031000,20031443
"Nashville-Davidson--Murfreesboro--Franklin, TN",Philippines,rd,th,73,68,36.0303,-86.7925,0.001245981,2236,2000,1795000,1794570
"Napa, CA",Philippines,th,rd,9,43,38.5096,-122.326,0.030776223,4334,4000,141000,140823
"Modesto, CA",Philippines,th,th,30,46,37.6057,-120.8871,0.006947363,3686,4000,531000,530561
"Minneapolis-St. Paul-Bloomington, MN-WI",Philippines,nd,th,62,36,45.2214,-93.5043,0.001821447,6354,6000,3488000,3488436
"Milwaukee-Waukesha-West Allis, WI",Philippines,st,th,71,70,43.1933,-87.8277,0.001313839,2065,2000,1572000,1571730
"Miami-Fort Lauderdale-West Palm Beach, FL",Philippines,st,st,51,21,26.0551,-80.4596,0.002664437,15792,16000,5927000,5926955
"Memphis, TN-MS-AR",Philippines,th,th,56,60,35.0381,-89.7993,0.002022606,2713,3000,1341000,1341339
"McAllen-Edinburg-Mission, TX",Philippines,th,st,45,51,26.4089,-98.1861,0.003686919,3054,3000,828000,828334
"Los Angeles-Long Beach-Anaheim, CA",Philippines,th,st,10,1,34.0786,-118.3232,0.022220704,293077,293000,13189000,13189366
"Las Vegas-Henderson-Paradise, NV",Philippines,th,th,5,7,35.9271,-115.2532,0.034082022,70555,71000,2070000,2070153
"Lakeland-Winter Haven, FL",Philippines,rd,th,43,64,28.0026,-81.7382,0.003718102,2371,2000,638000,637691
"Kansas City, MO-KS",Philippines,th,th,65,49,38.9071,-94.585,0.001663650,3444,3000,2070000,2070147
"Kahului-Wailuku-Lahaina, HI",Philippines,st,th,1,20,20.7753,-156.2914,0.113468720,18444,18000,163000,162547
"Jacksonville, FL",Philippines,rd,th,23,24,30.2238,-81.8852,0.009425622,13423,13000,1424000,1424097
"Indianapolis-Carmel-Anderson, IN",Philippines,th,nd,67,52,39.7141,-86.3223,0.001514653,2982,3000,1969000,1968768
"Houston-The Woodlands-Sugar Land, TX",Philippines,nd,th,32,12,29.6976,-95.3147,0.005933429,38464,38000,6483000,6482592
"Hartford-West Hartford-East Hartford, CT",Philippines,th,rd,54,53,41.6081,-72.6305,0.002350998,2849,3000,1212000,1211826
"Hanford-Corcoran, CA",Philippines,th,th,17,65,36.1391,-119.7718,0.015765901,2369,2000,150000,150261
"Fresno, CA",Philippines,st,th,31,37,36.7463,-119.6363,0.006314631,6082,6000,963000,963160
"Detroit-Warren-Dearborn, MI",Philippines,nd,th,52,27,42.6774,-83.3276,0.002658998,11425,11000,4297000,4296731
"Denver-Aurora-Lakewood, CO",Philippines,th,th,60,40,39.3686,-104.8662,0.001857520,5112,5000,2752000,2752056
"Deltona-Daytona Beach-Ormond Beach, FL",Philippines,th,th,39,58,29.1419,-81.2095,0.004498772,2761,3000,614000,613723
"Dallas-Fort Worth-Arlington, TX",Philippines,th,th,47,15,32.744,-97.0689,0.003495698,24320,24000,6957000,6957123
"Columbus, OH",Philippines,th,th,69,59,40.0371,-82.8533,0.001372930,2739,3000,1995000,1995004
"Colorado Springs, CO",Philippines,th,nd,44,62,38.8203,-104.6919,0.003710195,2555,3000,689000,688643
"Cleveland-Elyria, OH",Philippines,nd,st,72,61,41.6183,-81.6755,0.001273749,2626,3000,2062000,2061630
"Cincinnati, OH-KY-IN",Philippines,th,th,70,54,39.1013,-84.4863,0.001322208,2838,3000,2146000,2146410
"Chicago-Naperville-Elgin, IL-IN-WI",Philippines,th,th,26,5,41.703,-87.9363,0.008562407,81586,82000,9528000,9528396
"Charlotte-Concord-Gastonia, NC-SC",Philippines,th,th,68,50,35.2588,-80.889,0.001429140,3403,3000,2381000,2381152
"Charleston-North Charleston, SC",Philippines,th,th,36,48,32.9946,-79.8543,0.004764710,3470,3000,728000,728271
"Bridgeport-Stamford-Norwalk, CT",Philippines,nd,th,42,47,41.3084,-73.3137,0.003822144,3599,4000,942000,941618
"Bremerton-Silverdale, WA",Philippines,th,th,12,39,47.6874,-122.6079,0.020331045,5235,5000,257000,257488
"Boston-Cambridge-Newton, MA-NH",Philippines,st,rd,61,33,42.5684,-71.1109,0.001824124,8626,9000,4729000,4728844
"Baltimore-Columbia-Towson, MD",Philippines,th,nd,34,22,39.216,-76.6747,0.005170319,14378,14000,2781000,2780873
"Bakersfield, CA",Philippines,st,th,21,29,35.2949,-118.7204,0.012146850,10584,11000,871000,871337
"Austin-Round Rock, TX",Philippines,rd,st,53,41,30.2683,-97.6515,0.002397284,4657,5000,1943000,1942615
"Atlantic City-Hammonton, NJ",Philippines,th,th,25,66,39.5086,-74.6812,0.008641516,2368,2000,274000,274026
"Atlanta-Sandy Springs-Roswell, GA",Philippines,th,th,64,30,33.7311,-84.4002,0.001704148,9565,10000,5613000,5612777
"Anchorage, AK",Philippines,th,nd,11,32,62.1073,-149.9812,0.021889447,8712,9000,398000,398000
