MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Worcester, MA-CT",Poland,th,nd,9,22,42.178,-71.8736,0.002340257,2178,2000,931000,930667
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Poland,th,th,24,12,38.8552,-77.5269,0.000706949,4250,4000,6012000,6011752
"Trenton, NJ",Poland,rd,th,3,18,40.2805,-74.6826,0.007081630,2628,3000,371000,371101
"Tampa-St. Petersburg-Clearwater, FL",Poland,th,th,12,10,28.1327,-82.4803,0.001600908,4687,5000,2928000,2927714
"Springfield, MA",Poland,th,th,6,16,42.2772,-72.6068,0.004474597,2815,3000,629000,629107
"Seattle-Tacoma-Bellevue, WA",Poland,th,th,20,15,47.5137,-121.885,0.000901094,3308,3000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",Poland,th,th,18,27,36.8407,-121.3746,0.001041631,2024,2000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Poland,nd,th,22,13,37.6888,-122.0651,0.000771595,3532,4000,4578000,4577530
"San Diego-Carlsbad, CA",Poland,rd,th,23,20,33.0164,-116.7305,0.000767823,2498,2000,3253000,3253356
"Providence-Warwick, RI-MA",Poland,th,th,15,24,41.6397,-71.3161,0.001345256,2165,2000,1609000,1609359
"Phoenix-Mesa-Scottsdale, AZ",Poland,th,th,19,11,33.2681,-112.1432,0.001021142,4581,5000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Poland,th,th,13,4,39.9494,-75.2383,0.001513132,9151,9000,6048000,6047721
"North Port-Sarasota-Bradenton, FL",Poland,th,nd,8,22,27.2972,-82.3447,0.002898504,2178,2000,751000,751422
"New York-Newark-Jersey City, NY-NJ-PA",Poland,th,nd,5,2,40.778,-73.7087,0.005346245,107093,107000,20031000,20031443
"New Haven-Milford, CT",Poland,th,th,7,14,41.3658,-72.8776,0.003905333,3362,3000,861000,860874
"Miami-Fort Lauderdale-West Palm Beach, FL",Poland,th,th,16,7,26.0551,-80.4596,0.001313491,7785,8000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Poland,th,th,25,6,34.0786,-118.3232,0.000668038,8811,9000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Poland,th,th,26,19,29.6976,-95.3147,0.000400766,2598,3000,6483000,6482592
"Hartford-West Hartford-East Hartford, CT",Poland,nd,rd,2,3,41.6081,-72.6305,0.012768335,15473,15000,1212000,1211826
"Detroit-Warren-Dearborn, MI",Poland,th,th,10,5,42.6774,-83.3276,0.002094616,9000,9000,4297000,4296731
"Denver-Aurora-Lakewood, CO",Poland,st,st,21,21,39.3686,-104.8662,0.000827018,2276,2000,2752000,2752056
"Dallas-Fort Worth-Arlington, TX",Poland,th,th,28,28,32.744,-97.0689,0.000290494,2021,2000,6957000,6957123
"Cleveland-Elyria, OH",Poland,th,th,14,17,41.6183,-81.6755,0.001350873,2785,3000,2062000,2061630
"Chicago-Naperville-Elgin, IL-IN-WI",Poland,st,st,1,1,41.703,-87.9363,0.013929417,132725,133000,9528000,9528396
"Buffalo-Cheektowaga-Niagara Falls, NY",Poland,th,th,11,25,43.0374,-78.7361,0.001855565,2107,2000,1136000,1135503
"Bridgeport-Stamford-Norwalk, CT",Poland,th,th,4,9,41.3084,-73.3137,0.005622237,5294,5000,942000,941618
"Boston-Cambridge-Newton, MA-NH",Poland,th,th,17,8,42.5684,-71.1109,0.001220594,5772,6000,4729000,4728844
"Atlanta-Sandy Springs-Roswell, GA",Poland,th,th,27,26,33.7311,-84.4002,0.000374859,2104,2000,5613000,5612777
