MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Portugal,th,th,13,10,38.8552,-77.5269,0.000454610,2733,3000,6012000,6011752
"Springfield, MA",Portugal,rd,th,3,9,42.2772,-72.6068,0.004856090,3055,3000,629000,629107
"San Jose-Sunnyvale-Santa Clara, CA",Portugal,th,th,10,5,36.8407,-121.3746,0.001903138,3698,4000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Portugal,th,th,11,6,37.6888,-122.0651,0.000802398,3673,4000,4578000,4577530
"Providence-Warwick, RI-MA",Portugal,st,st,1,1,41.6397,-71.3161,0.030940269,49794,50000,1609000,1609359
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Portugal,th,th,14,13,39.9494,-75.2383,0.000376836,2279,2000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Portugal,th,nd,9,2,40.778,-73.7087,0.002021472,40493,40000,20031000,20031443
"New Haven-Milford, CT",Portugal,th,th,8,13,41.3658,-72.8776,0.002647310,2279,2000,861000,860874
"Modesto, CA",Portugal,th,th,4,12,37.6057,-120.8871,0.004606445,2444,2000,531000,530561
"Miami-Fort Lauderdale-West Palm Beach, FL",Portugal,th,th,12,11,26.0551,-80.4596,0.000458414,2717,3000,5927000,5926955
"Merced, CA",Portugal,nd,th,2,8,37.187,-120.6093,0.012818820,3397,3000,265000,265001
"Los Angeles-Long Beach-Anaheim, CA",Portugal,th,th,15,15,34.0786,-118.3232,0.000161039,2124,2000,13189000,13189366
"Hartford-West Hartford-East Hartford, CT",Portugal,th,th,7,7,41.6081,-72.6305,0.002941841,3565,4000,1212000,1211826
"Bridgeport-Stamford-Norwalk, CT",Portugal,th,th,5,4,41.3084,-73.3137,0.003958081,3727,4000,942000,941618
"Boston-Cambridge-Newton, MA-NH",Portugal,th,rd,6,3,42.5684,-71.1109,0.003489225,16500,17000,4729000,4728844
