MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Romania,th,th,15,12,38.8552,-77.5269,0.000533289,3206,3000,6012000,6011752
"Seattle-Tacoma-Bellevue, WA",Romania,th,th,4,6,47.5137,-121.885,0.001529516,5615,6000,3671000,3671095
"San Francisco-Oakland-Hayward, CA",Romania,th,th,13,14,37.6888,-122.0651,0.000656249,3004,3000,4578000,4577530
"Sacramento--Roseville--Arden-Arcade, CA",Romania,th,th,5,11,38.6673,-121.1593,0.001518812,3406,3000,2243000,2242542
"Riverside-San Bernardino-Ontario, CA",Romania,th,th,12,13,34.6177,-116.0501,0.000688387,3050,3000,4431000,4430646
"Portland-Vancouver-Hillsboro, OR-WA",Romania,nd,th,2,9,45.6371,-122.6727,0.001902762,4474,4000,2351000,2351319
"Phoenix-Mesa-Scottsdale, AZ",Romania,th,th,8,7,33.2681,-112.1432,0.001093587,4906,5000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Romania,th,th,16,16,39.9494,-75.2383,0.000435536,2634,3000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Romania,th,st,7,1,40.778,-73.7087,0.001167614,23389,23000,20031000,20031443
"Miami-Fort Lauderdale-West Palm Beach, FL",Romania,th,th,9,5,26.0551,-80.4596,0.001064796,6311,6000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Romania,th,rd,11,3,34.0786,-118.3232,0.000802768,10588,11000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Romania,th,th,18,18,29.6976,-95.3147,0.000328727,2131,2000,6483000,6482592
"Detroit-Warren-Dearborn, MI",Romania,rd,th,3,4,42.6774,-83.3276,0.001624025,6978,7000,4297000,4296731
"Dallas-Fort Worth-Arlington, TX",Romania,th,th,17,17,32.744,-97.0689,0.000358913,2497,2000,6957000,6957123
"Cleveland-Elyria, OH",Romania,st,th,1,10,41.6183,-81.6755,0.002078938,4286,4000,2062000,2061630
"Chicago-Naperville-Elgin, IL-IN-WI",Romania,th,nd,6,2,41.703,-87.9363,0.001454704,13861,14000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Romania,th,th,14,15,42.5684,-71.1109,0.000584498,2764,3000,4729000,4728844
"Atlanta-Sandy Springs-Roswell, GA",Romania,th,th,10,8,33.7311,-84.4002,0.000870514,4886,5000,5613000,5612777
