MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Taiwan,th,th,9,5,38.8552,-77.5269,0.002061629,12394,12000,6012000,6011752
"Urban Honolulu, HI",Taiwan,th,th,5,20,21.4812,-157.9695,0.002652485,2618,3000,987000,986999
"Seattle-Tacoma-Bellevue, WA",Taiwan,th,th,4,7,47.5137,-121.885,0.003053040,11208,11000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",Taiwan,st,rd,1,3,36.8407,-121.3746,0.014461890,28101,28000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Taiwan,rd,th,3,4,37.6888,-122.0651,0.006126667,28045,28000,4578000,4577530
"San Diego-Carlsbad, CA",Taiwan,th,th,7,11,33.0164,-116.7305,0.002285332,7435,7000,3253000,3253356
"Sacramento--Roseville--Arden-Arcade, CA",Taiwan,th,th,12,15,38.6673,-121.1593,0.001598186,3584,4000,2243000,2242542
"Riverside-San Bernardino-Ontario, CA",Taiwan,th,th,6,8,34.6177,-116.0501,0.002414321,10697,11000,4431000,4430646
"Portland-Vancouver-Hillsboro, OR-WA",Taiwan,th,th,15,17,45.6371,-122.6727,0.001342225,3156,3000,2351000,2351319
"Phoenix-Mesa-Scottsdale, AZ",Taiwan,nd,th,22,19,33.2681,-112.1432,0.000584242,2621,3000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Taiwan,st,th,21,14,39.9494,-75.2383,0.000698114,4222,4000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Taiwan,th,nd,8,2,40.778,-73.7087,0.002125908,42585,43000,20031000,20031443
"Miami-Fort Lauderdale-West Palm Beach, FL",Taiwan,th,st,24,21,26.0551,-80.4596,0.000405436,2403,2000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Taiwan,nd,st,2,1,34.0786,-118.3232,0.006716775,88590,89000,13189000,13189366
"Las Vegas-Henderson-Paradise, NV",Taiwan,th,th,11,16,35.9271,-115.2532,0.001691179,3501,4000,2070000,2070153
"Houston-The Woodlands-Sugar Land, TX",Taiwan,th,th,10,6,29.6976,-95.3147,0.001867154,12104,12000,6483000,6482592
"Detroit-Warren-Dearborn, MI",Taiwan,rd,rd,23,23,42.6774,-83.3276,0.000484787,2083,2000,4297000,4296731
"Denver-Aurora-Lakewood, CO",Taiwan,th,th,20,24,39.3686,-104.8662,0.000738720,2033,2000,2752000,2752056
"Dallas-Fort Worth-Arlington, TX",Taiwan,th,th,16,9,32.744,-97.0689,0.001332879,9273,9000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Taiwan,th,th,18,10,41.703,-87.9363,0.000856073,8157,8000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Taiwan,th,th,14,12,42.5684,-71.1109,0.001497618,7082,7000,4729000,4728844
"Baltimore-Columbia-Towson, MD",Taiwan,th,nd,19,22,39.216,-76.6747,0.000793636,2207,2000,2781000,2780873
"Austin-Round Rock, TX",Taiwan,th,th,13,18,30.2683,-97.6515,0.001556665,3024,3000,1943000,1942615
"Atlanta-Sandy Springs-Roswell, GA",Taiwan,th,th,17,13,33.7311,-84.4002,0.000890112,4996,5000,5613000,5612777
