MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Thailand,th,th,11,4,38.8552,-77.5269,0.001457312,8761,9000,6012000,6011752
"Tampa-St. Petersburg-Clearwater, FL",Thailand,th,rd,18,23,28.1327,-82.4803,0.000828974,2427,2000,2928000,2927714
"Stockton-Lodi, CA",Thailand,th,th,4,19,37.8911,-121.2479,0.004473603,3198,3000,715000,714860
"Seattle-Tacoma-Bellevue, WA",Thailand,th,th,10,7,47.5137,-121.885,0.001684511,6184,6000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",Thailand,th,nd,12,22,36.8407,-121.3746,0.001403422,2727,3000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Thailand,th,th,9,5,37.6888,-122.0651,0.001778252,8140,8000,4578000,4577530
"San Diego-Carlsbad, CA",Thailand,th,st,15,21,33.0164,-116.7305,0.000940875,3061,3000,3253000,3253356
"Sacramento--Roseville--Arden-Arcade, CA",Thailand,th,th,5,6,38.6673,-121.1593,0.003394808,7613,8000,2243000,2242542
"Riverside-San Bernardino-Ontario, CA",Thailand,th,th,14,10,34.6177,-116.0501,0.001134146,5025,5000,4431000,4430646
"Portland-Vancouver-Hillsboro, OR-WA",Thailand,th,th,13,20,45.6371,-122.6727,0.001358387,3194,3000,2351000,2351319
"Phoenix-Mesa-Scottsdale, AZ",Thailand,th,th,19,18,33.2681,-112.1432,0.000776612,3484,3000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Thailand,th,th,26,26,39.9494,-75.2383,0.000374025,2262,2000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Thailand,th,rd,25,3,40.778,-73.7087,0.000460127,9217,9000,20031000,20031443
"Minneapolis-St. Paul-Bloomington, MN-WI",Thailand,rd,nd,3,2,45.2214,-93.5043,0.004488544,15658,16000,3488000,3488436
"Milwaukee-Waukesha-West Allis, WI",Thailand,th,th,7,17,43.1933,-87.8277,0.002242752,3525,4000,1572000,1571730
"Miami-Fort Lauderdale-West Palm Beach, FL",Thailand,th,th,24,16,26.0551,-80.4596,0.000618193,3664,4000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Thailand,th,st,8,1,34.0786,-118.3232,0.001947630,25688,26000,13189000,13189366
"Las Vegas-Henderson-Paradise, NV",Thailand,th,th,6,12,35.9271,-115.2532,0.002352483,4870,5000,2070000,2070153
"Houston-The Woodlands-Sugar Land, TX",Thailand,st,th,21,13,29.6976,-95.3147,0.000704656,4568,5000,6483000,6482592
"Fresno, CA",Thailand,st,th,1,9,36.7463,-119.6363,0.005736326,5525,6000,963000,963160
"Denver-Aurora-Lakewood, CO",Thailand,th,th,17,24,39.3686,-104.8662,0.000852090,2345,2000,2752000,2752056
"Dallas-Fort Worth-Arlington, TX",Thailand,th,th,20,11,32.744,-97.0689,0.000713226,4962,5000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Thailand,rd,th,23,8,41.703,-87.9363,0.000628123,5985,6000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Thailand,th,th,16,14,42.5684,-71.1109,0.000882668,4174,4000,4729000,4728844
"Atlanta-Sandy Springs-Roswell, GA",Thailand,nd,th,22,15,33.7311,-84.4002,0.000685044,3845,4000,5613000,5612777
"Anchorage, AK",Thailand,nd,th,2,25,62.1073,-149.9812,0.005708543,2272,2000,398000,398000
