MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Trinidad and Tobago,th,rd,5,3,38.8552,-77.5269,0.001704495,10247,10000,6012000,6011752
"Tampa-St. Petersburg-Clearwater, FL",Trinidad and Tobago,th,th,6,10,28.1327,-82.4803,0.001465649,4291,4000,2928000,2927714
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Trinidad and Tobago,th,th,10,9,39.9494,-75.2383,0.000959204,5801,6000,6048000,6047721
"Orlando-Kissimmee-Sanford, FL",Trinidad and Tobago,rd,th,3,4,28.4593,-81.4247,0.003498378,8146,8000,2329000,2328508
"New York-Newark-Jersey City, NY-NJ-PA",Trinidad and Tobago,st,st,1,1,40.778,-73.7087,0.005369359,107556,108000,20031000,20031443
"Miami-Fort Lauderdale-West Palm Beach, FL",Trinidad and Tobago,nd,nd,2,2,26.0551,-80.4596,0.003687560,21856,22000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Trinidad and Tobago,th,th,11,11,34.0786,-118.3232,0.000230185,3036,3000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Trinidad and Tobago,th,th,9,5,29.6976,-95.3147,0.000980009,6353,6000,6483000,6482592
"Boston-Cambridge-Newton, MA-NH",Trinidad and Tobago,th,th,7,8,42.5684,-71.1109,0.001249988,5911,6000,4729000,4728844
"Baltimore-Columbia-Towson, MD",Trinidad and Tobago,th,th,4,6,39.216,-76.6747,0.002234190,6213,6000,2781000,2780873
"Atlanta-Sandy Springs-Roswell, GA",Trinidad and Tobago,th,th,8,7,33.7311,-84.4002,0.001087519,6104,6000,5613000,5612777
