MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Turkey,nd,rd,2,3,38.8552,-77.5269,0.000900902,5416,5000,6012000,6011752
"San Francisco-Oakland-Hayward, CA",Turkey,th,th,4,7,37.6888,-122.0651,0.000761983,3488,3000,4578000,4577530
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Turkey,th,th,5,5,39.9494,-75.2383,0.000656942,3973,4000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Turkey,st,st,1,1,40.778,-73.7087,0.001410882,28262,28000,20031000,20031443
"Miami-Fort Lauderdale-West Palm Beach, FL",Turkey,th,th,6,6,26.0551,-80.4596,0.000597609,3542,4000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Turkey,th,nd,7,2,34.0786,-118.3232,0.000564470,7445,7000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Turkey,th,th,8,9,29.6976,-95.3147,0.000480209,3113,3000,6483000,6482592
"Dallas-Fort Worth-Arlington, TX",Turkey,th,th,10,10,32.744,-97.0689,0.000288338,2006,2000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Turkey,th,th,9,8,41.703,-87.9363,0.000343185,3270,3000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Turkey,rd,th,3,4,42.5684,-71.1109,0.000897682,4245,4000,4729000,4728844
