MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Ukraine,nd,th,22,12,38.8552,-77.5269,0.000805256,4841,5000,6012000,6011752
"Springfield, MA",Ukraine,th,th,6,24,42.2772,-72.6068,0.003431849,2159,2000,629000,629107
"Spokane-Spokane Valley, WA",Ukraine,nd,th,2,18,48.1301,-117.6472,0.006114957,3318,3000,543000,542604
"Seattle-Tacoma-Bellevue, WA",Ukraine,th,rd,4,3,47.5137,-121.885,0.005683046,20863,21000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",Ukraine,th,th,13,20,36.8407,-121.3746,0.001565534,3042,3000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Ukraine,th,th,11,8,37.6888,-122.0651,0.002146354,9825,10000,4578000,4577530
"San Diego-Carlsbad, CA",Ukraine,th,th,18,17,33.0164,-116.7305,0.001128988,3673,4000,3253000,3253356
"Sacramento--Roseville--Arden-Arcade, CA",Ukraine,st,th,1,5,38.6673,-121.1593,0.007480796,16776,17000,2243000,2242542
"Rochester, NY",Ukraine,th,st,9,21,43.0717,-77.3205,0.002517034,2724,3000,1082000,1082226
"Portland-Vancouver-Hillsboro, OR-WA",Ukraine,rd,th,3,7,45.6371,-122.6727,0.006076164,14287,14000,2351000,2351319
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Ukraine,th,th,8,6,39.9494,-75.2383,0.002524587,15268,15000,6048000,6047721
"New York-Newark-Jersey City, NY-NJ-PA",Ukraine,th,st,5,1,40.778,-73.7087,0.004329244,86721,87000,20031000,20031443
"Minneapolis-St. Paul-Bloomington, MN-WI",Ukraine,th,th,17,14,45.2214,-93.5043,0.001178178,4110,4000,3488000,3488436
"Miami-Fort Lauderdale-West Palm Beach, FL",Ukraine,st,th,21,10,26.0551,-80.4596,0.000963901,5713,6000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Ukraine,th,th,16,4,34.0786,-118.3232,0.001327130,17504,18000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Ukraine,th,rd,24,23,29.6976,-95.3147,0.000340142,2205,2000,6483000,6482592
"Hartford-West Hartford-East Hartford, CT",Ukraine,th,nd,12,22,41.6081,-72.6305,0.001900438,2303,2000,1212000,1211826
"Detroit-Warren-Dearborn, MI",Ukraine,th,th,19,13,42.6774,-83.3276,0.001124110,4830,5000,4297000,4296731
"Denver-Aurora-Lakewood, CO",Ukraine,th,th,20,19,39.3686,-104.8662,0.001115530,3070,3000,2752000,2752056
"Cleveland-Elyria, OH",Ukraine,th,th,7,11,41.6183,-81.6755,0.002692530,5551,6000,2062000,2061630
"Chicago-Naperville-Elgin, IL-IN-WI",Ukraine,th,nd,10,2,41.703,-87.9363,0.002430210,23156,23000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Ukraine,th,th,15,9,42.5684,-71.1109,0.001415356,6693,7000,4729000,4728844
"Baltimore-Columbia-Towson, MD",Ukraine,th,th,14,15,39.216,-76.6747,0.001422934,3957,4000,2781000,2780873
"Atlanta-Sandy Springs-Roswell, GA",Ukraine,rd,th,23,16,33.7311,-84.4002,0.000693774,3894,4000,5613000,5612777
