MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Venezuela,th,th,5,5,38.8552,-77.5269,0.000983740,5914,6000,6012000,6011752
"Tampa-St. Petersburg-Clearwater, FL",Venezuela,th,th,4,6,28.1327,-82.4803,0.001849907,5416,5000,2928000,2927714
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Venezuela,th,th,10,12,39.9494,-75.2383,0.000408914,2473,2000,6048000,6047721
"Orlando-Kissimmee-Sanford, FL",Venezuela,nd,rd,2,3,28.4593,-81.4247,0.007445540,17337,17000,2329000,2328508
"New York-Newark-Jersey City, NY-NJ-PA",Venezuela,th,nd,7,2,40.778,-73.7087,0.000916359,18356,18000,20031000,20031443
"Miami-Fort Lauderdale-West Palm Beach, FL",Venezuela,st,st,1,1,26.0551,-80.4596,0.014622180,86665,87000,5927000,5926955
"Los Angeles-Long Beach-Anaheim, CA",Venezuela,th,th,11,8,34.0786,-118.3232,0.000315633,4163,4000,13189000,13189366
"Houston-The Woodlands-Sugar Land, TX",Venezuela,rd,th,3,4,29.6976,-95.3147,0.002596955,16835,17000,6483000,6482592
"Dallas-Fort Worth-Arlington, TX",Venezuela,th,th,9,9,32.744,-97.0689,0.000469878,3269,3000,6957000,6957123
"Chicago-Naperville-Elgin, IL-IN-WI",Venezuela,th,th,12,11,41.703,-87.9363,0.000273603,2607,3000,9528000,9528396
"Boston-Cambridge-Newton, MA-NH",Venezuela,th,th,8,10,42.5684,-71.1109,0.000639691,3025,3000,4729000,4728844
"Atlanta-Sandy Springs-Roswell, GA",Venezuela,th,th,6,7,33.7311,-84.4002,0.000937682,5263,5000,5613000,5612777
