MSA,Origin (tooltip),label - RANK Immigrants Share,label - RANK Immigrants,RANK Immigrants Share,RANK Immigrants,Latitude (generated),Longitude (generated),Immigrant share,Immigrants,Round immigrants,Round total MSA population,Total MSA population
"Worcester, MA-CT",Vietnam,th,th,25,37,42.178,-71.8736,0.005219912,4858,5000,931000,930667
"Wichita, KS",Vietnam,th,th,9,29,37.5841,-97.4951,0.010936683,7005,7000,641000,640505
"Washington-Arlington-Alexandria, DC-VA-MD-WV",Vietnam,th,th,15,6,38.8552,-77.5269,0.008181143,49183,49000,6012000,6011752
"Virginia Beach-Norfolk-Newport News, VA-NC",Vietnam,rd,rd,53,43,36.8161,-76.3797,0.002380969,4082,4000,1714000,1714428
"Urban Honolulu, HI",Vietnam,th,th,12,27,21.4812,-157.9695,0.009330303,9209,9000,987000,986999
"Tulsa, OK",Vietnam,th,th,48,56,36.1881,-96.1294,0.002805472,2723,3000,971000,970603
"Tucson, AZ",Vietnam,th,th,49,59,31.9703,-111.7845,0.002607297,2616,3000,1003000,1003338
"Tampa-St. Petersburg-Clearwater, FL",Vietnam,th,st,36,21,28.1327,-82.4803,0.003937885,11529,12000,2928000,2927714
"Stockton-Lodi, CA",Vietnam,th,th,19,34,37.8911,-121.2479,0.006974792,4986,5000,715000,714860
"St. Louis, MO-IL",Vietnam,nd,th,52,30,38.7628,-90.3359,0.002432361,6819,7000,2803000,2803449
"Springfield, MA",Vietnam,rd,th,43,65,42.2772,-72.6068,0.003344423,2104,2000,629000,629107
"Seattle-Tacoma-Bellevue, WA",Vietnam,th,th,6,7,47.5137,-121.885,0.012111645,44463,44000,3671000,3671095
"San Jose-Sunnyvale-Santa Clara, CA",Vietnam,st,nd,1,2,36.8407,-121.3746,0.052284820,101595,102000,1943000,1943107
"San Francisco-Oakland-Hayward, CA",Vietnam,rd,th,3,4,37.6888,-122.0651,0.013359607,61154,61000,4578000,4577530
"San Diego-Carlsbad, CA",Vietnam,th,th,8,8,33.0164,-116.7305,0.011071337,36019,36000,3253000,3253356
"San Antonio-New Braunfels, TX",Vietnam,th,th,56,36,29.376,-98.6267,0.002113324,4929,5000,2332000,2332345
"Salt Lake City, UT",Vietnam,th,th,35,38,40.4903,-112.926,0.004181016,4827,5000,1155000,1154504
"Sacramento--Roseville--Arden-Arcade, CA",Vietnam,th,th,10,13,38.6673,-121.1593,0.010859551,24353,24000,2243000,2242542
"Rochester, NY",Vietnam,st,th,51,58,43.0717,-77.3205,0.002459745,2662,3000,1082000,1082226
"Riverside-San Bernardino-Ontario, CA",Vietnam,th,th,27,14,34.6177,-116.0501,0.004795915,21249,21000,4431000,4430646
"Richmond, VA",Vietnam,th,nd,44,42,37.48,-77.437,0.003267475,4111,4000,1258000,1258158
"Raleigh, NC",Vietnam,nd,th,42,40,35.7604,-78.5878,0.003544206,4408,4000,1244000,1243720
"Providence-Warwick, RI-MA",Vietnam,th,nd,60,62,41.6397,-71.3161,0.001472636,2370,2000,1609000,1609359
"Portland-Vancouver-Hillsboro, OR-WA",Vietnam,th,th,13,15,45.6371,-122.6727,0.008824409,20749,21000,2351000,2351319
"Phoenix-Mesa-Scottsdale, AZ",Vietnam,th,th,40,18,33.2681,-112.1432,0.003599743,16149,16000,4486000,4486153
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Vietnam,th,th,30,12,39.9494,-75.2383,0.004459035,26967,27000,6048000,6047721
"Oxnard-Thousand Oaks-Ventura, CA",Vietnam,th,th,38,47,34.447,-119.0772,0.003785983,3192,3000,843000,843110
"Orlando-Kissimmee-Sanford, FL",Vietnam,th,th,34,25,28.4593,-81.4247,0.004245208,9885,10000,2329000,2328508
"Olympia-Tumwater, WA",Vietnam,th,st,11,61,46.9781,-122.8988,0.009672901,2576,3000,266000,266311
"Oklahoma City, OK",Vietnam,th,th,17,24,35.4226,-97.724,0.007864181,10515,11000,1337000,1337075
"New York-Newark-Jersey City, NY-NJ-PA",Vietnam,rd,th,63,11,40.778,-73.7087,0.001356667,27176,27000,20031000,20031443
"New Orleans-Metairie, LA",Vietnam,th,rd,14,23,29.7839,-89.6135,0.008799061,11001,11000,1250000,1250247
"Nashville-Davidson--Murfreesboro--Franklin, TN",Vietnam,st,th,61,60,36.0303,-86.7925,0.001448815,2600,3000,1795000,1794570
"Minneapolis-St. Paul-Bloomington, MN-WI",Vietnam,th,th,28,17,45.2214,-93.5043,0.004645062,16204,16000,3488000,3488436
"Miami-Fort Lauderdale-West Palm Beach, FL",Vietnam,th,nd,57,22,26.0551,-80.4596,0.001918354,11370,11000,5927000,5926955
"Memphis, TN-MS-AR",Vietnam,th,th,54,48,35.0381,-89.7993,0.002356600,3161,3000,1341000,1341339
"Los Angeles-Long Beach-Anaheim, CA",Vietnam,nd,st,2,1,34.0786,-118.3232,0.018316726,241586,242000,13189000,13189366
"Lincoln, NE",Vietnam,th,rd,4,43,40.7851,-96.9161,0.012803463,4082,4000,319000,318820
"Las Vegas-Henderson-Paradise, NV",Vietnam,th,th,39,28,35.9271,-115.2532,0.003658184,7573,8000,2070000,2070153
"Lancaster, PA",Vietnam,rd,th,33,64,40.0186,-76.2338,0.004278667,2281,2000,533000,533110
"Kansas City, MO-KS",Vietnam,th,rd,50,33,38.9071,-94.585,0.002464559,5102,5000,2070000,2070147
"Jacksonville, FL",Vietnam,th,st,47,41,30.2238,-81.8852,0.002971005,4231,4000,1424000,1424097
